Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
210	-3547571	-3547597	26.75681	0.0022661	0.00200364	0.0211928	0.00456384	0.0988511	0.0340026	0.0116392	0.088538	0.0500915	0.00839127	0.161241	0.00378382	0.00181713	0.0173823	0.642187	0.0154802	0.0065083	0.0279463	0.00571071	1.09553e-05	0.0132177	0.00961605	0.00502396	0.112142	0.019348	0.00767457	0.00836841	0.00592183	0.0053846	0.272008	0	0.227756	0.229384	0	0.270852	0.272008	0.227756	0.229384	0.270852	0.283725	0.215764	0.216567	0.283944	1.390305
220	-3547569	-3547596	26.75018	0.00205451	0.00196169	0.0213046	0.00470289	0.0988511	0.0340026	0.0116392	0.0892571	0.0500915	0.00839127	0.161241	0.00378382	0.00179957	0.0173823	0.642187	0.0154802	0.00673372	0.0279463	0.00576337	3.26757e-06	0.013055	0.00961605	0.00516558	0.112142	0.019348	0.00767457	0.00806627	0.00592183	0.00540116	0.272008	0	0.227756	0.229384	0	0.270852	0.272008	0.227756	0.229384	0.270852	0.283725	0.215764	0.216567	0.283944	1.390968
230	-3547566	-3547593	26.74517	0.00206659	0.00193615	0.0213046	0.00470289	0.0988511	0.0340026	0.0113567	0.0892571	0.0500915	0.00839127	0.161241	0.00387843	0.00178245	0.0173823	0.642406	0.0152676	0.00673372	0.0279463	0.00592008	8.65573e-06	0.013055	0.00974098	0.00516558	0.11259	0.019348	0.00767457	0.00804416	0.00592183	0.00540116	0.272008	0	0.227756	0.229384	0	0.270852	0.272008	0.227756	0.229384	0.270852	0.283725	0.215764	0.216567	0.283944	1.391469
240	-3547571	-3547598	26.74766	0.00215739	0.0018789	0.0213046	0.00470289	0.0988511	0.0340026	0.0111833	0.088795	0.0500915	0.00871106	0.161241	0.00387843	0.00184799	0.017696	0.642406	0.0152676	0.00641864	0.0279463	0.00574804	7.31183e-06	0.0133646	0.009654	0.00513623	0.11259	0.019348	0.00772261	0.00804416	0.00592183	0.00530252	0.272008	0	0.227756	0.229384	0	0.270852	0.272008	0.227756	0.229384	0.270852	0.283725	0.215764	0.216567	0.283944	1.39122
250	-3547571	-3547598	26.74916	0.00215739	0.0018789	0.0213046	0.00451034	0.0988511	0.0340026	0.0111833	0.088795	0.050333	0.00838164	0.161061	0.00383624	0.00172762	0.017248	0.642406	0.0157625	0.00641864	0.0279463	0.00596451	4.94101e-06	0.0133646	0.009654	0.00522518	0.11259	0.019348	0.00772261	0.00820106	0.00582344	0.00536749	0.271596	0	0.227885	0.229514	0	0.271005	0.271596	0.227885	0.229514	0.271005	0.283725	0.215764	0.216567	0.283944	1.39107
260	-3547576	-3547602	26.74428	0.00217792	0.00186346	0.0213046	0.00451034	0.0988511	0.034152	0.0111833	0.0886414	0.0510085	0.00837345	0.161061	0.00380489	0.00193106	0.017248	0.642406	0.0149644	0.00703194	0.0279463	0.00568387	7.19559e-06	0.0133646	0.009654	0.00512402	0.11259	0.0194338	0.00772261	0.00837393	0.00586687	0.00527799	0.271596	0	0.227885	0.229514	0	0.271005	0.271596	0.227885	0.229514	0.271005	0.283725	0.215764	0.216567	0.283944	1.391559
270	-3547570	-3547597	26.69914	0.00217792	0.00182486	0.0213046	0.00465436	0.0981527	0.034152	0.0112119	0.0886414	0.0510085	0.00847816	0.161061	0.0038023	0.00183075	0.0172984	0.648085	0.0149644	0.00673785	0.0279303	0.00599243	1.16853e-05	0.0128244	0.00967672	0.00512402	0.11259	0.01932	0.00769173	0.00838008	0.00586687	0.00527799	0.271596	0	0.227885	0.229514	0	0.271005	0.271596	0.227885	0.229514	0.271005	0.283725	0.215764	0.216567	0.283944	1.396072
280	-3547563	-3547589	26.74716	0.00217792	0.00184924	0.021376	0.00459885	0.0981527	0.0336809	0.0112119	0.0886414	0.0503198	0.00858918	0.161061	0.0038023	0.00183128	0.0172984	0.643829	0.0154964	0.00655045	0.0279303	0.00595377	1.67648e-05	0.013228	0.00963844	0.00499272	0.11259	0.01932	0.00769173	0.00829657	0.00586687	0.00527799	0.271596	0	0.227885	0.229514	0	0.271005	0.271596	0.227885	0.229514	0.271005	0.283787	0.215811	0.216614	0.283788	1.39127
290	-3547569	-3547596	26.74726	0.00221793	0.00194086	0.0205894	0.00467839	0.0992658	0.0336809	0.0115969	0.0886551	0.0503198	0.00858918	0.161061	0.00390547	0.00180413	0.0172964	0.642286	0.0154964	0.00664797	0.0279303	0.00595377	6.33955e-05	0.013228	0.00963844	0.0050897	0.11259	0.01932	0.00784969	0.00806108	0.00605555	0.00544943	0.271596	0	0.227885	0.229514	0	0.271005	0.271596	0.227885	0.229514	0.271005	0.283787	0.215811	0.216614	0.283788	1.39126
300	-3547570	-3547597	26.75481	0.00218897	0.00192463	0.0205894	0.00467839	0.0992658	0.0336809	0.0114628	0.0886551	0.0503198	0.00858918	0.161061	0.00381344	0.00178774	0.0172964	0.642286	0.0151655	0.00661542	0.0279843	0.00595599	2.03614e-05	0.013228	0.00963844	0.00504573	0.11259	0.01932	0.00784969	0.00788875	0.00615482	0.00544943	0.271687	0	0.227961	0.229256	0	0.271096	0.271687	0.227961	0.229256	0.271096	0.283787	0.215811	0.216614	0.283788	1.390506
