Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
31	1	-2603035	-2602108	-927.7481	0.7090007	3.131307	0.06071762	0.2404037	0.468597	1.353006	1.353006	0.2725	0	0.230428	0.22537	0	0.271702	0.2725	0.230428	0.22537	0.271702	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282965	0.216491	0.216922	0.283623	0.6275533	0.1634611	18.15692	0.872	0.664938	9.97469	1.96821	0.0805493	2.86699	1.06862	1.47115	1.93285	0.498065	2.86269	4.5724	0.837977	0.339074
32	0	-2603073	-2602105	-968.0423	0.4943131	2.570917	0.04589698	0.03554575	0.4587674	1.785772	1.785772	0.271634	0	0.230383	0.226282	0	0.271701	0.271634	0.230383	0.226282	0.271701	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283281	0.216345	0.216847	0.283528	0.7271852	0.1777255	13.48045	2.60583	1.16319	10.2901	2.70093	0.763722	4.19006	1.58422	0.973718	0.851832	3.01146	3.19373	2.14102	0.775082	0.07190938
33	1	-2603047	-2602111	-936.2227	0.6040424	2.409235	0.06056235	0.08043436	0.5236081	1.354099	1.354099	0.271758	0	0.229099	0.227395	0	0.271749	0.271758	0.229099	0.227395	0.271749	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284478	0.216269	0.216377	0.282876	0.7936943	0.2265831	18.97764	0.0701095	0.500869	10.1181	4.57555	0.122778	1.58386	1.24273	1.2875	0.595485	0.804332	3.37708	0.289062	1.10162	0.1331601
34	0	-2603064	-2602112	-952.0211	0.3552899	1.64178	0.04590579	0.05449648	0.3007934	1.770319	1.770319	0.271299	0	0.229339	0.226513	0	0.272849	0.271299	0.229339	0.226513	0.272849	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282886	0.21667	0.216586	0.283858	0.7001268	0.3501176	20.64421	2.19893	0.855956	10.2697	2.4992	0.858481	4.17154	1.29974	1.12238	0.368129	1.56518	3.7899	3.98445	0.46432	0.153386
35	1	-2603027	-2602104	-923.4262	0.651193	3.354593	0.06061919	0.02290531	0.6282876	1.356258	1.356258	0.27205	0	0.229356	0.226853	0	0.271741	0.27205	0.229356	0.226853	0.271741	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283589	0.216631	0.2161	0.283681	0.5897611	0.6548604	15.86439	0.0185196	0.664229	9.13663	1.80389	0.979054	2.09492	0.607827	1.95183	0.12167	0.400939	1.81544	0.654691	1.18477	0.03517438
36	0	-2603067	-2602110	-957.891	0.340067	2.858408	0.0460289	0.06797735	0.2720897	1.776901	1.776901	0.271404	0	0.229571	0.225318	0	0.273707	0.271404	0.229571	0.225318	0.273707	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28292	0.216895	0.216038	0.284147	0.6714865	0.1852792	15.62384	0.283857	1.04644	9.75928	4.99749	0.398195	0.660507	0.70997	1.52384	0.878983	1.20358	2.57866	3.16237	0.598936	0.199894
37	1	-2603038	-2602105	-933.3459	0.6641215	7.38806	0.0606156	0.007636718	0.6564848	1.353516	1.353516	0.271777	0	0.228865	0.225953	0	0.273405	0.271777	0.228865	0.225953	0.273405	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283135	0.216237	0.217098	0.28353	0.616682	0.3112574	28.79324	0.241713	0.250213	10.283	2.00413	0.132772	0.725243	0.307177	1.12672	1.77537	2.29449	4.55264	0.366196	6.05032	0.01149898
38	0	-2603060	-2602101	-958.8145	0.4356227	1.713635	0.0459472	0.08779266	0.3478301	1.7867	1.7867	0.272131	0	0.229416	0.226458	0	0.271995	0.272131	0.229416	0.226458	0.271995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282972	0.216698	0.216705	0.283625	0.6664457	0.3193188	14.33002	3.07531	0.166608	8.56124	2.761	2.51248	3.61879	1.04698	2.06408	1.01353	1.05245	4.57048	3.1468	0.364195	0.2015337
39	1	-2603030	-2602103	-926.8351	0.707553	2.040442	0.06089087	0.151501	0.556052	1.34789	1.34789	0.272085	0	0.229566	0.226589	0	0.27176	0.272085	0.229566	0.226589	0.27176	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283136	0.216707	0.216894	0.283263	0.5629841	0.2119206	19.68347	1.54294	0.5243	10.2402	2.30443	1.2235	2.66354	1.11641	1.2556	2.20181	3.04975	1.928	1.82612	2.21535	0.2141196
40	0	-2603077	-2602103	-973.6916	0.5778046	4.197772	0.0457469	0.1101972	0.4676074	1.794019	1.794019	0.271898	0	0.228567	0.226166	0	0.273369	0.271898	0.228567	0.226166	0.273369	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28411	0.216454	0.216461	0.282976	0.5671714	0.1906842	9.244906	7.89458	0.11011	6.61607	2.47321	1.11613	1.029	0.337133	1.51745	0.884239	0.162665	2.39693	1.10596	6.27137	0.190717
41	1	-2603038	-2602107	-930.6189	0.5426334	3.522462	0.06089647	0.1350483	0.4075851	1.340927	1.340927	0.272485	0	0.230087	0.225306	0	0.272122	0.272485	0.230087	0.225306	0.272122	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282072	0.21715	0.217225	0.283554	0.6437508	0.2146598	26.05131	0.57645	0.623759	9.78505	5.01008	1.77268	0.730948	1.28747	2.07528	0.278823	0.502254	3.68921	0.0749788	2.3022	0.2488758
42	0	-2603062	-2602102	-960.5089	0.5496861	1.603842	0.04578867	0.2038428	0.3458433	1.79457	1.79457	0.271674	0	0.229049	0.226503	0	0.272774	0.271674	0.229049	0.226503	0.272774	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28295	0.216563	0.21667	0.283818	0.6459545	0.2095454	16.46021	4.48604	5.91421	6.94357	7.56782	1.84869	0.897631	0.342645	1.42002	1.97658	1.97713	2.37004	0.818271	6.2981	0.370835
43	1	-2603033	-2602104	-928.2857	0.595195	4.321387	0.06102146	0.2302122	0.3649828	1.348044	1.348044	0.27223	0	0.229766	0.226262	0	0.271742	0.27223	0.229766	0.226262	0.271742	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283381	0.216581	0.216254	0.283783	0.5212446	0.1786612	20.60007	2.96509	0.463472	10.2864	3.52805	0.843548	1.79462	1.27537	1.36701	0.148834	0.554963	3.97963	0.354134	5.27111	0.3867845
44	0	-2603070	-2602106	-963.1126	0.6380337	2.552553	0.04552416	0.2423303	0.3957034	1.79457	1.79457	0.272585	0	0.229593	0.225812	0	0.27201	0.272585	0.229593	0.225812	0.27201	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283016	0.217343	0.217049	0.282592	0.5824358	0.2240105	28.65104	0.622886	4.19552	6.42188	6.03837	3.96214	0.668485	1.59959	1.59752	0.651064	0.478874	3.42466	0.917088	1.55133	0.379808
45	1	-2603029	-2602107	-921.7616	0.7596948	2.169445	0.06116472	0.1558483	0.6038465	1.337062	1.337062	0.270705	0	0.230428	0.22635	0	0.272517	0.270705	0.230428	0.22635	0.272517	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283772	0.21658	0.216431	0.283217	0.6136899	0.2650439	26.07212	1.19528	1.0169	6.94454	2.99868	2.35898	3.76251	1.14391	1.34162	0.118739	0.207907	3.86716	0.30489	0.367429	0.2051459
46	0	-2603071	-2602105	-965.4703	0.7648648	1.501739	0.04572281	0.3727798	0.3920851	1.79457	1.79457	0.272293	0	0.230067	0.22517	0	0.272471	0.272293	0.230067	0.22517	0.272471	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28266	0.217397	0.216937	0.283006	0.7141668	0.3507149	15.57639	3.86661	4.1057	4.9228	5.40585	0.81419	0.724886	0.366697	1.44833	1.65852	1.42953	1.90732	3.9497	3.69896	0.4873799
47	1	-2603031	-2602105	-926.7424	0.3896224	4.081404	0.06101356	0.007584918	0.3820375	1.340598	1.340598	0.273232	0	0.229967	0.225486	0	0.271315	0.273232	0.229967	0.225486	0.271315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282882	0.216311	0.216939	0.283868	0.5667911	0.1972456	23.90559	2.0609	0.366766	10.2873	4.32222	1.43877	0.737401	1.14505	2.27549	0.041456	0.190284	3.43912	3.28955	1.05678	0.01946735
48	0	-2603076	-2602103	-972.8155	0.5455031	3.854706	0.04580078	0.2624106	0.2830925	1.783707	1.783707	0.272027	0	0.229348	0.226104	0	0.272521	0.272027	0.229348	0.226104	0.272521	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283167	0.216917	0.216728	0.283187	0.5265525	0.1907973	12.92424	4.76133	3.48365	5.16761	4.02342	4.00857	2.28758	1.2198	1.06188	1.69236	0.809854	3.84446	2.52379	3.95791	0.4810433
49	1	-2603030	-2602104	-926.1876	0.4219696	1.644854	0.06094437	0.0305495	0.3914201	1.347187	1.347187	0.273462	0	0.228778	0.22663	0	0.27113	0.273462	0.228778	0.22663	0.27113	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28285	0.215825	0.216986	0.284339	0.5959002	0.3476264	20.0987	2.25521	1.10657	10.1817	2.39016	0.245051	0.712717	0.921077	0.987567	0.196802	2.92024	1.95919	1.02084	2.04548	0.07239739
50	0	-2603075	-2602102	-972.9133	0.4256412	1.750524	0.04595059	0.4630655	-0.03742428	1.786278	1.786278	0.270737	0	0.229754	0.226875	0	0.272634	0.270737	0.229754	0.226875	0.272634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283944	0.216642	0.216317	0.283096	0.5970732	0.1496392	21.03211	4.31267	3.83946	5.64021	5.92869	3.95468	1.06216	1.18695	2.50345	0.0854401	2.80506	3.36977	0.937323	2.72231	1.087924
51	1	-2603030	-2602106	-923.9685	0.6751491	1.848835	0.06072743	0.08670792	0.5884412	1.34871	1.34871	0.271901	0	0.228609	0.226497	0	0.272993	0.271901	0.228609	0.226497	0.272993	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28287	0.216834	0.216511	0.283785	0.6608081	0.1771428	18.89691	0.41409	0.240967	10.2208	4.96452	0.359717	1.32019	1.58839	1.8623	0.216703	0.0234286	4.57127	2.93632	2.33749	0.1284278
52	0	-2603066	-2602104	-962.0027	0.756379	2.326159	0.04593774	0.3665873	0.3897916	1.786278	1.786278	0.272575	0	0.228846	0.226924	0	0.271655	0.272575	0.228846	0.226924	0.271655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283618	0.215632	0.217024	0.283726	0.6009324	0.1563456	25.05283	3.8886	1.55246	5.99561	3.10157	4.19737	1.0236	1.5599	1.02222	0.752515	3.18862	2.06685	2.3323	7.13715	0.4846609
53	1	-2603029	-2602104	-924.6097	0.4785944	4.527626	0.06050363	0.08280439	0.39579	1.35332	1.35332	0.271973	0	0.229779	0.225656	0	0.272592	0.271973	0.229779	0.225656	0.272592	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282732	0.217378	0.216223	0.283667	0.5886766	0.2844357	13.85746	0.148445	0.0311856	8.56897	4.33195	0.658343	4.32413	1.06417	2.34377	1.35519	1.63923	2.99554	2.05001	0.391234	0.1730158
54	0	-2603070	-2602106	-963.9295	0.3950629	1.912144	0.04586186	0.1561526	0.2389103	1.791625	1.791625	0.271902	0	0.230322	0.225931	0	0.271845	0.271902	0.230322	0.225931	0.271845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283582	0.216811	0.216155	0.283452	0.6706113	0.1838544	29.52444	1.57715	0.298959	7.74595	5.52529	0.116238	1.9499	1.02705	1.60537	0.205271	0.828521	2.39011	0.880921	3.11695	0.3952601
