Iteration	Posterior	Likelihood	Prior	birth	clock_morpho	clock_nuclear	death	diversification	divtime_dirus	divtime_jackals	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_transv[1]	er_transv[2]	er_transv[3]	er_transv[4]	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	pi[1]	pi[2]	pi[3]	pi[4]	pi_scale	psi	root_time	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	turnover
2200	-2603070	-2602106	-963.1126	0.6380337	2.552553	0.04552416	0.2423303	0.3957034	1.79457	1.79457	0.272585	0	0.229593	0.225812	0	0.27201	0.272585	0.229593	0.225812	0.27201	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283016	0.217343	0.217049	0.282592	0.5824358	0.2240105	28.65104	0.622886	4.19552	6.42188	6.03837	3.96214	0.668485	1.59959	1.59752	0.651064	0.478874	3.42466	0.917088	1.55133	0.379808
2300	-2603071	-2602105	-965.4703	0.7648648	1.501739	0.04572281	0.3727798	0.3920851	1.79457	1.79457	0.272293	0	0.230067	0.22517	0	0.272471	0.272293	0.230067	0.22517	0.272471	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28266	0.217397	0.216937	0.283006	0.7141668	0.3507149	15.57639	3.86661	4.1057	4.9228	5.40585	0.81419	0.724886	0.366697	1.44833	1.65852	1.42953	1.90732	3.9497	3.69896	0.4873799
2400	-2603076	-2602103	-972.8155	0.5455031	3.854706	0.04580078	0.2624106	0.2830925	1.783707	1.783707	0.272027	0	0.229348	0.226104	0	0.272521	0.272027	0.229348	0.226104	0.272521	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283167	0.216917	0.216728	0.283187	0.5265525	0.1907973	12.92424	4.76133	3.48365	5.16761	4.02342	4.00857	2.28758	1.2198	1.06188	1.69236	0.809854	3.84446	2.52379	3.95791	0.4810433
2500	-2603075	-2602102	-972.9133	0.4256412	1.750524	0.04595059	0.4630655	-0.03742428	1.786278	1.786278	0.270737	0	0.229754	0.226875	0	0.272634	0.270737	0.229754	0.226875	0.272634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283944	0.216642	0.216317	0.283096	0.5970732	0.1496392	21.03211	4.31267	3.83946	5.64021	5.92869	3.95468	1.06216	1.18695	2.50345	0.0854401	2.80506	3.36977	0.937323	2.72231	1.087924
2600	-2603066	-2602104	-962.0027	0.756379	2.326159	0.04593774	0.3665873	0.3897916	1.786278	1.786278	0.272575	0	0.228846	0.226924	0	0.271655	0.272575	0.228846	0.226924	0.271655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283618	0.215632	0.217024	0.283726	0.6009324	0.1563456	25.05283	3.8886	1.55246	5.99561	3.10157	4.19737	1.0236	1.5599	1.02222	0.752515	3.18862	2.06685	2.3323	7.13715	0.4846609
2700	-2603070	-2602106	-963.9295	0.3950629	1.912144	0.04586186	0.1561526	0.2389103	1.791625	1.791625	0.271902	0	0.230322	0.225931	0	0.271845	0.271902	0.230322	0.225931	0.271845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283582	0.216811	0.216155	0.283452	0.6706113	0.1838544	29.52444	1.57715	0.298959	7.74595	5.52529	0.116238	1.9499	1.02705	1.60537	0.205271	0.828521	2.39011	0.880921	3.11695	0.3952601
2800	-2603080	-2602110	-970.3643	0.6376199	1.0144	0.04571985	0.245063	0.3925569	1.791625	1.791625	0.270745	0	0.229887	0.226551	0	0.272817	0.270745	0.229887	0.226551	0.272817	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283779	0.216777	0.216305	0.283138	0.6765787	0.09374816	13.36709	6.42652	4.34462	7.57955	2.08204	1.25755	2.54952	0.492853	0.829981	0.990889	0.286784	2.00611	2.639	0.785511	0.3843403
2900	-2603070	-2602106	-963.8672	0.4925872	1.837178	0.04580514	0.2442674	0.2483197	1.791814	1.791814	0.270644	0	0.228673	0.227854	0	0.272829	0.270644	0.228673	0.227854	0.272829	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283734	0.216216	0.216779	0.283271	0.7167624	0.3022924	19.73062	8.70028	3.0698	9.0902	2.65289	1.14976	4.2923	1.0503	1.73101	0.847676	1.01417	4.56331	3.5708	1.02352	0.4958867
3000	-2603071	-2602108	-963.134	0.7813119	2.201482	0.04568225	0.2930746	0.4882373	1.791814	1.791814	0.271809	0	0.229588	0.227405	0	0.271199	0.271809	0.229588	0.227405	0.271199	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282273	0.216593	0.217225	0.283909	0.6473349	0.2287597	27.8344	6.16018	2.21293	7.90592	3.98173	4.69837	2.92344	0.826493	2.2574	1.26304	0.833971	4.68254	2.53249	1.12033	0.3751058
3100	-2603068	-2602106	-962.1426	0.5652736	3.829674	0.04566499	0.1002181	0.4650555	1.792299	1.792299	0.272238	0	0.229285	0.226547	0	0.27193	0.272238	0.229285	0.226547	0.27193	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283287	0.216454	0.21733	0.282929	0.6352207	0.1424908	25.46632	0.2919	1.40004	5.03231	4.25276	2.87455	2.67262	1.0863	1.88588	1.14048	1.53137	3.79689	0.392376	6.04117	0.1772913
