Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
200	-3547623	-3547644	20.98171	1e+08	0	0.00223679	0.00189376	0.0206454	0.00436523	0.0975893	0.0337486	0.0115458	0.0887581	0.0512041	0.0084151	0.158624	0.00369789	0.00191325	0.0174741	0.649316	0.0156223	0.019381	0.113523	0.0131831	5.27048e-05	0.00806687	0.00523636	0.00955176	0.0279408	0.00762828	0.00597056	0.00513201	0.00680154	0.00608468	0.274212	0	0.228023	0.229973	0	0.267793	0.274212	0.228023	0.229973	0.267793	3.419546	0.282327	0.215781	0.218428	0.283464	5	0.999873	0.999968	1.00003	1.00013	1.395602
210	-3547611	-3547634	23.77837	1e+08	0	0.00223679	0.00189376	0.0209743	0.00482873	0.0975893	0.0337486	0.0116526	0.0887581	0.0512041	0.0084151	0.158624	0.00372396	0.00179942	0.0174741	0.649316	0.0156223	0.019381	0.113399	0.0131831	4.60463e-05	0.00809481	0.00523636	0.00955176	0.0279408	0.00762828	0.00586828	0.00513201	0.00680154	0.00608468	0.274212	0	0.228023	0.229973	0	0.267793	0.274212	0.228023	0.229973	0.267793	0.6168158	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.396209
220	-3547629	-3547633	4.130892	5.145797e+07	1	0.00220053	0.00189376	0.0209743	0.00483291	0.099253	0.0337486	0.0111578	0.0887581	0.0502849	0.00854962	0.158624	0.00372396	0.00196085	0.0174741	0.649316	0.0155788	0.0193733	0.113399	0.0131831	7.90343e-05	0.00830949	0.00519197	0.00978694	0.0279408	0.00762828	0.00589261	0.00513201	0.00680154	0.00576383	0.274212	0	0.228023	0.229973	0	0.267793	0.274212	0.228023	0.229973	0.267793	1.837572	0.282806	0.216147	0.217102	0.283945	5	0.999823	0.999955	1.00004	1.00018	1.396813
230	-3547606	-3547629	22.7866	1e+08	0	0.00217129	0.00189376	0.0209743	0.00442541	0.099253	0.0337486	0.0111578	0.0887581	0.0501688	0.00854962	0.158624	0.00379448	0.00182515	0.0174741	0.649316	0.0155008	0.0193733	0.113399	0.0131831	4.05721e-05	0.00830949	0.00519197	0.00978694	0.0279408	0.00762828	0.00598433	0.00526715	0.00680154	0.00576383	0.274212	0	0.228023	0.229973	0	0.267793	0.274212	0.228023	0.229973	0.267793	1.607619	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.396306
240	-3547595	-3547617	21.60889	1e+08	0	0.00217129	0.00189376	0.0209743	0.00442541	0.099253	0.0338187	0.0112668	0.0887581	0.0501688	0.00854962	0.162158	0.00395059	0.00176149	0.0178437	0.649316	0.0155008	0.0196567	0.112196	0.0131831	2.10519e-05	0.00830949	0.00513364	0.00978694	0.0278925	0.00762828	0.00584743	0.00521958	0.00680154	0.00576383	0.273291	0	0.230615	0.229201	0	0.266894	0.273291	0.230615	0.229201	0.266894	2.755881	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.39925
250	-3547614	-3547619	5.365525	4.061769e+07	1	0.00217129	0.00190907	0.0207817	0.0046375	0.099253	0.0338187	0.0112668	0.0887581	0.0501688	0.00854962	0.162158	0.00374034	0.00176149	0.0178437	0.649316	0.0151238	0.0196567	0.112196	0.0127946	2.96628e-05	0.00830949	0.00542423	0.00978694	0.0278925	0.00762828	0.00584743	0.00507949	0.00680154	0.00570278	0.273291	0	0.230615	0.229201	0	0.266894	0.273291	0.230615	0.229201	0.266894	0.5869981	0.282806	0.216147	0.217102	0.283945	5	0.9998	0.999949	1.00005	1.0002	1.398407
260	-3547594	-3547618	24.30931	1e+08	0	0.00217129	0.00190907	0.0207817	0.0046375	0.099253	0.0338187	0.0112668	0.0887581	0.0502885	0.00845286	0.162158	0.00374034	0.00176149	0.0177558	0.649316	0.0151238	0.0196567	0.112196	0.0127946	1.94306e-05	0.00830949	0.00542423	0.00978694	0.0278925	0.00762828	0.00595824	0.00499092	0.00680154	0.00570278	0.273291	0	0.230615	0.229201	0	0.266894	0.273291	0.230615	0.229201	0.266894	0.06442418	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.398354
270	-3547610	-3547615	5.52621	5.801579e+07	1	0.00217129	0.00190151	0.0207817	0.0046375	0.099253	0.0338187	0.0112668	0.0887581	0.0502885	0.0086318	0.162158	0.00393843	0.00176149	0.0177558	0.649316	0.0151238	0.0196567	0.112196	0.013202	1.4107e-05	0.00830949	0.00546338	0.00978694	0.0278925	0.00762828	0.00595824	0.00499092	0.00680154	0.00585107	0.273216	0	0.230639	0.229224	0	0.266921	0.273216	0.230639	0.229224	0.266921	0.4172518	0.282806	0.216147	0.217102	0.283945	5	0.999833	0.999957	1.00004	1.00017	1.399313
280	-3547612	-3547617	5.539921	3.362605e+07	1	0.00217237	0.00178926	0.0205657	0.0046375	0.099253	0.0338187	0.0112668	0.0887581	0.0502885	0.00841173	0.162158	0.00393843	0.00176683	0.0177558	0.649316	0.0156083	0.0196567	0.112196	0.0130342	7.84964e-06	0.00808174	0.00546338	0.00978694	0.0278925	0.00783341	0.00596527	0.00499092	0.00681411	0.00585107	0.273216	0	0.230639	0.229224	0	0.266921	0.273216	0.230639	0.229224	0.266921	0.4058879	0.282806	0.216147	0.217102	0.283945	5	0.999781	0.999944	1.00006	1.00022	1.399079
290	-3547592	-3547615	23.32165	1e+08	0	0.00211194	0.00178926	0.0205657	0.0046375	0.099253	0.0338441	0.0112668	0.0887581	0.0502885	0.00841173	0.162158	0.00393822	0.00176683	0.0177638	0.647977	0.0151179	0.0196567	0.112196	0.0130342	7.35332e-06	0.00808174	0.00546338	0.00978694	0.0278925	0.00783341	0.00593792	0.00505691	0.00681411	0.00617742	0.272671	0	0.230812	0.229396	0	0.267121	0.272671	0.230812	0.229396	0.267121	1.059759	0.282806	0.216147	0.217102	0.283945	5	0.999873	0.999968	1.00003	1.00013	1.397587
