Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
23	1	-2555239	-2555234	-4.436665	6.146723e+07	1	0.00755901	0.0193491	0.00583316	0.158994	0.00308866	0.14524	0.0589509	0.178776	1.09963	0.00502581	0.00672353	0.0118037	0.0225181	0.00401569	0.0452092	0.0113366	0.011218	0.0709836	0.0764744	0.171	0.119292	0.0201879	0.542062	1.005666e-06	0	0	0.00912367	0.128217	0.160252	0.702408	2	0.999838	0.999959	1.00004	1.00016	0.6533625	0.150449	0.869896	0.12181	0.142004	0.653363	1.795269
24	0	-2555891	-2555895	4.293671	2.797075e+07	1	0.0134225	0.0138572	0.00423961	0.111704	0.00234915	0.104045	0.0437814	0.125779	0.792427	0.00357157	0.00887948	0.0036816	0.00472804	0.0322947	0.00473328	0.0161458	0.00287973	0.347283	0.0740764	0.238405	0.110435	0.150506	0.0792951	4.456904e-06	0	0	0.608516	0.217559	0.0856411	0.0882834	2	0.99976	0.999939	1.00006	1.00024	0.9145562	0.572655	0.00328627	0.142851	0.154365	0.914556	1.288519
25	1	-2555230	-2555229	-0.774167	9.986436e+07	1	0.00828061	0.019269	0.00583316	0.158994	0.00288987	0.14524	0.0600389	0.178776	1.09963	0.00502581	0.00685238	0.0111606	0.0227018	0.00387389	0.0452092	0.0113366	0.0121417	0.272856	0.0320251	0.242011	0.117759	0.0917519	0.243598	1.143574e-05	0	0	0.138874	0.00558125	0.294687	0.560858	2	0.999873	0.999967	1.00003	1.00013	0.6518893	0.0128969	0.408401	0.273358	0.0396551	0.651889	1.797251
26	0	-2555873	-2555896	22.96356	1e+08	0	0.0134225	0.0138572	0.00418389	0.111704	0.00223232	0.104045	0.0437814	0.125779	0.792427	0.00357157	0.00854117	0.00405902	0.00469427	0.0322947	0.00473669	0.0161458	0.00296111	0.0496403	0.155579	0.385195	0.218089	0.0585064	0.13299	1.740383e-05	0	0	0.140645	0.0748742	0.560633	0.223848	2	0.999873	0.999968	1.00003	1.00013	0.9145562	0.109069	0.00251483	0.171187	0.689395	0.914556	1.288437
27	1	-2555193	-2555216	23.39814	1e+08	0	0.00807878	0.019269	0.00583316	0.158994	0.0030776	0.14524	0.0616302	0.178776	1.09963	0.00502581	0.00685238	0.0116801	0.022458	0.00387389	0.0452092	0.0112613	0.0113801	0.165248	0.182139	0.133424	0.361358	0.0445187	0.113312	3.781345e-07	0	0	0.108712	0.324135	0.313064	0.254089	2	0.999873	0.999968	1.00003	1.00013	0.6518893	0.00262895	0.0251803	0.107774	0.0251733	0.651889	1.798267
28	0	-2555870	-2555892	22.19005	1e+08	0	0.0134225	0.0138572	0.00418389	0.111704	0.00223232	0.104045	0.0437814	0.125779	0.792427	0.00357157	0.00853236	0.00389951	0.00446912	0.0322947	0.00492437	0.0161458	0.00296111	0.0670169	0.0120385	0.373613	0.247802	0.29635	0.00317874	1.627222e-06	0	0	0.157009	0.125475	0.048473	0.669043	2	0.999873	0.999968	1.00003	1.00013	0.9150911	0.915661	0.00187942	0.0684575	0.596422	0.915091	1.288231
29	1	-2555190	-2555216	25.65952	1e+08	0	0.00814232	0.019269	0.00594294	0.158994	0.00316014	0.14524	0.0616302	0.17408	1.10119	0.00494598	0.00690914	0.0113807	0.022458	0.00387389	0.0452092	0.0112613	0.0113801	0.102121	0.067871	0.0126363	0.0297697	0.660503	0.127098	3.715896e-05	0	0	0.00422164	0.866592	0.11327	0.0159162	2	0.999873	0.999968	1.00003	1.00013	0.6600503	0.0285837	0.00108919	0.0492622	0.0124435	0.66005	1.795066
30	0	-2555891	-2555891	0.6011717	2.196121e+07	1	0.0134225	0.0137965	0.00418389	0.111704	0.00229297	0.104045	0.0437814	0.125779	0.797507	0.00350193	0.00853236	0.00389951	0.00474079	0.0322947	0.00492437	0.0161458	0.00296111	0.110924	0.121816	0.0816573	0.473429	0.187745	0.0244299	1.016056e-05	0	0	0.0881293	0.341895	0.497977	0.0719987	2	0.999729	0.999931	1.00007	1.00027	0.9153438	0.785539	0.00969523	0.292783	0.710111	0.915344	1.293513
31	1	-2555205	-2555209	3.688749	1.845042e+07	1	0.00824177	0.019269	0.00594294	0.158994	0.00316014	0.144922	0.0616302	0.17408	1.10119	0.00494598	0.00693012	0.0113807	0.022458	0.00384644	0.0452092	0.0112613	0.0113801	0.093158	0.127714	0.0101019	0.22085	0.359257	0.188919	4.159158e-06	0	0	0.00083513	0.188453	0.312741	0.497971	2	0.999704	0.999925	1.00008	1.0003	0.6600503	0.623548	0.046229	0.00118104	0.0195616	0.66005	1.794841
32	0	-2555888	-2555890	1.329502	3.183239e+07	1	0.0134225	0.0137965	0.0040718	0.111704	0.00214891	0.104045	0.0437814	0.125779	0.797507	0.00363208	0.00856312	0.00398717	0.00474079	0.0322947	0.00492437	0.0161458	0.00277441	0.38099	0.130981	0.209932	0.210388	0.0529166	0.0147925	2.43203e-06	0	0	0.376359	0.344519	0.173362	0.10576	2	0.999775	0.999942	1.00006	1.00023	0.9153438	0.39127	0.0435345	0.0549051	0.818866	0.915344	1.293319
33	1	-2555184	-2555206	21.44824	1e+08	0	0.00793754	0.019092	0.00594294	0.158994	0.00307601	0.144922	0.0605887	0.17408	1.10119	0.00499151	0.00652786	0.0118952	0.0226527	0.00402408	0.0452092	0.0112613	0.0113801	0.00325385	0.155763	0.551417	0.0251886	0.214279	0.0500989	2.105139e-07	0	0	0.173977	0.289073	0.0770149	0.459935	2	0.999873	0.999968	1.00003	1.00013	0.6600503	0.195525	0.597896	0.00801629	0.0013915	0.66005	1.793764
34	0	-2555873	-2555895	22.03171	1e+08	0	0.0134225	0.0137965	0.0040718	0.110987	0.00224499	0.104045	0.0437814	0.125779	0.797507	0.00363208	0.00844714	0.00405688	0.00481342	0.0322947	0.00492437	0.0160669	0.00297834	0.446513	0.311384	0.0764875	0.0830859	0.0591771	0.0233528	9.988161e-06	0	0	0.0898547	0.181832	0.556067	0.172246	2	0.999873	0.999968	1.00003	1.00013	0.9153438	0.837479	0.121602	0.26779	0.00288144	0.915344	1.29285
35	1	-2555202	-2555205	2.376713	2.116247e+07	1	0.00793754	0.019092	0.00594294	0.158994	0.00321274	0.144922	0.0605887	0.17408	1.10119	0.00499151	0.00689465	0.0116946	0.0226527	0.00402408	0.0452092	0.0112613	0.0113944	0.101817	0.0831411	0.174173	0.284456	0.349988	0.00642444	1.515616e-07	0	0	0.0142644	0.280755	0.0325793	0.672401	2	0.999724	0.999929	1.00007	1.00028	0.6600503	0.640496	0.859216	0.00377947	0.00119816	0.66005	1.794081
36	0	-2555886	-2555891	5.346409	5.085376e+07	1	0.0134431	0.0137965	0.00424027	0.112986	0.00234344	0.104045	0.0437814	0.125779	0.797507	0.00363208	0.00844714	0.00392873	0.00452076	0.0322947	0.00492437	0.0160669	0.0029278	0.0760622	0.261677	0.137093	0.428288	0.0714357	0.0254446	2.422555e-06	0	0	0.805453	0.0382547	0.0166626	0.13963	2	0.999822	0.999954	1.00005	1.00018	0.9153438	0.0239554	0.515216	0.0342489	0.0321906	0.915344	1.294665
37	1	-2555183	-2555207	24.31192	1e+08	0	0.00804047	0.0194208	0.00594294	0.158994	0.00305575	0.144922	0.0605887	0.17408	1.10119	0.00492315	0.00715697	0.0123267	0.0226527	0.00402408	0.0438058	0.0112613	0.0113944	0.132424	0.426846	0.0787333	0.170863	0.190482	0.000651249	5.263179e-06	0	0	0.628729	0.0540552	0.00553902	0.311677	2	0.999873	0.999968	1.00003	1.00013	0.6567937	0.153146	0.0656873	0.00456206	0.00162906	0.656794	1.793778
38	0	-2555865	-2555895	29.67164	1e+08	0	0.0134431	0.0137965	0.00424027	0.112986	0.00236748	0.104096	0.0437814	0.125779	0.797507	0.00353744	0.00878941	0.00413814	0.00457622	0.0322947	0.00492437	0.0164306	0.00275512	0.146798	0.522396	0.0362511	0.0997331	0.0672003	0.127622	1.727522e-05	0	0	0.284775	0.451676	0.174986	0.0885633	2	0.999873	0.999968	1.00003	1.00013	0.911571	0.00933454	0.141685	0.00139108	0.0200954	0.911571	1.295443
39	1	-2555189	-2555198	8.911321	7.106263e+07	1	0.00804047	0.0194208	0.00594294	0.154673	0.00305575	0.144922	0.0605887	0.17408	1.10119	0.00492315	0.0071921	0.0114374	0.022689	0.00402408	0.0438058	0.0112136	0.0113944	0.0770272	0.186017	0.0678171	0.115409	0.549928	0.0038018	8.061325e-06	0	0	0.0664439	0.0791306	0.28852	0.565906	2	0.999849	0.999961	1.00004	1.00015	0.6567937	0.081061	0.00956809	0.00135709	0.00365053	0.656794	1.788592
40	0	-2555881	-2555893	12.54581	7.720971e+07	1	0.0134431	0.0137965	0.00422019	0.112986	0.00236748	0.104096	0.0437814	0.125779	0.797507	0.00352356	0.00878941	0.00403961	0.00445142	0.0322947	0.00492579	0.0164306	0.00281924	0.0472069	0.341193	0.0825397	0.217472	0.158038	0.153551	9.721257e-06	0	0	0.0584609	0.580603	0.0579156	0.30302	2	0.999855	0.999963	1.00004	1.00014	0.911571	0.00114472	0.322312	0.00198223	0.0138747	0.911571	1.295251
41	1	-2555164	-2555190	26.3862	1e+08	0	0.00803032	0.0194208	0.00583953	0.154673	0.00305575	0.145146	0.0605887	0.17408	1.10119	0.00501194	0.00647815	0.0116574	0.022689	0.00402408	0.0438058	0.0112136	0.0119272	0.0397144	0.0358715	0.528296	0.113268	0.281879	0.000971461	3.475523e-06	0	0	0.569245	0.018064	0.299308	0.113383	2	0.999873	0.999968	1.00003	1.00013	0.6591266	0.11217	0.00325759	0.00428529	0.00628107	0.659127	1.78883
42	0	-2555895	-2555896	1.147586	9.548784e+07	1	0.013613	0.0136762	0.00427398	0.112986	0.00225072	0.104096	0.0438166	0.125779	0.797507	0.00345734	0.00847158	0.00429223	0.00445142	0.0322947	0.00493953	0.0161663	0.00281924	0.52066	0.0940978	0.041744	0.174707	0.145082	0.0237097	1.685331e-05	0	0	0.0446665	0.31013	0.449451	0.195752	2	0.99987	0.999966	1.00003	1.00013	0.9152003	0.346781	0.299933	0.0109107	0.796972	0.9152	1.294891
43	1	-2555165	-2555187	22.02717	1e+08	0	0.00785741	0.0190278	0.00583953	0.154673	0.00306663	0.143271	0.060472	0.175673	1.10119	0.00498238	0.00689932	0.0116574	0.022689	0.00402408	0.0438058	0.0111743	0.0120764	0.12464	0.113738	0.237525	0.364625	0.157689	0.00178287	9.379502e-07	0	0	0.655798	0.198879	0.129016	0.0163068	2	0.999873	0.999968	1.00003	1.00013	0.6605204	0.12795	0.526063	0.0029516	0.00387974	0.66052	1.788378
44	0	-2555872	-2555893	20.81731	1e+08	0	0.0133147	0.0136762	0.00410309	0.112986	0.00227533	0.103793	0.0438166	0.125779	0.797507	0.00362082	0.0087872	0.0043567	0.00446626	0.0319857	0.00477864	0.0161663	0.00277436	0.120829	0.0410646	0.0457148	0.0434249	0.595183	0.153784	5.802567e-06	0	0	0.0910058	0.190194	0.267989	0.450811	2	0.999873	0.999968	1.00003	1.00013	0.9152003	0.129351	0.0614638	0.0891945	0.368348	0.9152	1.294187
