Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	kappa	p_inv	p_inv_indicator	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	sub_rate	sub_rate_vec[1]	sub_rate_vec[2]	sub_rate_vec[3]	sub_rate_vec[4]	sub_rate_vec[5]	TL
210	-2555895	-2555896	1.147586	9.548784e+07	1	0.013613	0.0136762	0.00427398	0.112986	0.00225072	0.104096	0.0438166	0.125779	0.797507	0.00345734	0.00847158	0.00429223	0.00445142	0.0322947	0.00493953	0.0161663	0.00281924	0.52066	0.0940978	0.041744	0.174707	0.145082	0.0237097	1.685331e-05	0	0	0.0446665	0.31013	0.449451	0.195752	2	0.99987	0.999966	1.00003	1.00013	0.9152003	0.346781	0.299933	0.0109107	0.796972	0.9152	1.294891
220	-2555872	-2555893	20.81731	1e+08	0	0.0133147	0.0136762	0.00410309	0.112986	0.00227533	0.103793	0.0438166	0.125779	0.797507	0.00362082	0.0087872	0.0043567	0.00446626	0.0319857	0.00477864	0.0161663	0.00277436	0.120829	0.0410646	0.0457148	0.0434249	0.595183	0.153784	5.802567e-06	0	0	0.0910058	0.190194	0.267989	0.450811	2	0.999873	0.999968	1.00003	1.00013	0.9152003	0.129351	0.0614638	0.0891945	0.368348	0.9152	1.294187
230	-2555892	-2555894	1.269977	9.686421e+07	1	0.0130678	0.0138948	0.00418431	0.112986	0.00230174	0.103793	0.0434713	0.125779	0.797507	0.00362359	0.0088928	0.00409932	0.00446626	0.0319857	0.00488238	0.0161663	0.00277436	0.286418	0.13588	0.304994	0.0636303	0.194384	0.0146942	7.161759e-06	0	0	0.395642	0.0332197	0.496506	0.074633	2	0.999871	0.999967	1.00003	1.00013	0.9152003	0.00263307	0.471532	0.671001	0.970366	0.9152	1.293876
240	-2555885	-2555894	9.234382	9.59634e+07	1	0.0130678	0.0136562	0.00418431	0.112986	0.00224981	0.103793	0.0434713	0.125779	0.797507	0.00362359	0.0088928	0.00424769	0.00446626	0.0319857	0.00488238	0.0161663	0.00277436	0.130915	0.252819	0.125433	0.0048863	0.461084	0.0248626	6.360733e-06	0	0	0.504633	0.0156408	0.319262	0.160464	2	0.999871	0.999967	1.00003	1.00013	0.9152003	0.053907	0.00121399	0.397426	0.0108203	0.9152	1.293734
250	-2555885	-2555895	9.664498	4.50077e+07	1	0.0130678	0.0136562	0.00433827	0.112986	0.00224677	0.103793	0.0434713	0.125779	0.797507	0.0036382	0.0088928	0.0038231	0.00482584	0.0319857	0.00487658	0.0161951	0.00300679	0.118358	0.318049	0.00248682	0.0527764	0.294487	0.213843	4.356596e-06	0	0	0.171345	0.385671	0.38126	0.061725	2	0.99981	0.999952	1.00005	1.00019	0.9142666	0.0145157	0.0236632	0.414518	0.00128233	0.914267	1.29409
260	-2555870	-2555898	27.42949	1e+08	0	0.0130574	0.0136562	0.00433827	0.112986	0.00209103	0.103435	0.0434713	0.125779	0.797507	0.0036382	0.00892182	0.0038231	0.00466765	0.0319857	0.00487658	0.0161951	0.00306534	0.29427	0.413953	0.00861925	0.0603258	0.13849	0.0843427	1.161681e-06	0	0	0.0825969	0.315949	0.423356	0.178097	2	0.999873	0.999968	1.00003	1.00013	0.9151329	0.0225978	0.0141861	0.153695	0.0071747	0.915133	1.293495
270	-2555868	-2555895	27.46259	1e+08	0	0.0130574	0.0136562	0.0042166	0.112986	0.00211453	0.103435	0.0434713	0.125779	0.797507	0.00364596	0.00892182	0.00392071	0.00466765	0.0319857	0.00487914	0.0161951	0.00275227	0.260906	0.358115	0.0112994	0.0282761	0.0412699	0.300134	4.22455e-06	0	0	0.127854	0.0937554	0.526864	0.251526	2	0.999873	0.999968	1.00003	1.00013	0.9151329	0.0037217	0.00376651	0.070041	0.349381	0.915133	1.293191
280	-2555886	-2555895	8.530844	1.980427e+07	1	0.0132509	0.0136562	0.00435152	0.112986	0.00211453	0.103435	0.0434713	0.126134	0.797507	0.00361285	0.00876448	0.00430457	0.00441711	0.0319857	0.00480264	0.0162038	0.00273683	0.0643045	0.325173	0.00163094	0.0221634	0.112359	0.47437	7.183956e-06	0	0	0.476781	0.295089	0.113331	0.114798	2	0.999714	0.999927	1.00007	1.00029	0.91411	0.00888946	0.00414609	0.0994228	0.155387	0.91411	1.293734
290	-2555861	-2555892	30.18408	1e+08	0	0.0132612	0.0136562	0.00416996	0.11178	0.00227796	0.103435	0.0434713	0.125374	0.797507	0.00354362	0.00859392	0.00430457	0.00444308	0.0319857	0.00484966	0.0162038	0.00276557	0.00304574	0.509958	0.00717796	0.0588773	0.234629	0.186312	1.244889e-05	0	0	0.213491	0.26207	0.412657	0.111782	2	0.999873	0.999968	1.00003	1.00013	0.9147203	0.00123875	0.00413856	0.0101448	0.44089	0.91472	1.291622
300	-2555879	-2555894	15.07686	5.045708e+07	1	0.0136259	0.0136562	0.00403039	0.11178	0.00234343	0.1035	0.0435606	0.125374	0.797507	0.0035218	0.00838337	0.00430457	0.00437766	0.0319857	0.00484966	0.0162038	0.00290534	0.121787	0.262426	0.0187411	0.142612	0.192503	0.261931	5.381355e-06	0	0	0.00681929	0.308541	0.275697	0.408942	2	0.999821	0.999954	1.00005	1.00018	0.9142838	0.0337813	0.00482797	0.00116431	0.00438378	0.914284	1.29191
