Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
21	1	-82.68121	-67.83255	-14.84866	4.310817e+07	1	0.00490723	0.0415465	0.00238661	0.152155	0.154259	0.255921	0.0896243	0.107738	0.0605171	0.216121	0.177427	0.063269	0.0780801	0.304404	0.0226739	0.193016	0.092038	0.498242	0.49956	0.500347	0.501851	0	62000	1.317816	1.317816	1	0.3772285	0.19999	0.473596	0.0103594	0.316054	0.0416133	0.302775	0.697225	0.958387	1	0.4534012	1	0.999806	0.999951	1.00005	1.00019	2.016084
22	0	-87.02178	-71.07955	-15.94224	5.512542e+07	1	0.123959	0.0257888	0.0287784	0.0194349	0.256127	0.0886372	0.0459891	0.0919065	0.0490126	0.149025	0.0719275	0.0227761	0.0478374	0.119793	0.0311217	0.235189	0.156525	0.00263497	0.185562	0.814438	0.997365	1	0.1813657	1	3.782637	1	0.6499291	0.147716	0.100302	0.637011	0.114971	0.275414	0.438055	0.561944	0.724587	1	3.619108	2	0.999829	0.999956	1.00004	1.00017	1.563829
23	1	-65.46296	-67.84829	2.385334	1e+08	0	0.00407141	0.0415465	0.00207369	0.116411	0.154259	0.195214	0.114002	0.107738	0.0605171	0.155966	0.229499	0.100903	0.0780801	0.304404	0.0201608	0.193016	0.092038	0.498242	0.49956	0.500347	0.501851	0	62000	3.405952	3.405952	0.4533444	0.4533444	0.808055	0.0330252	0.0536426	0.105277	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.969899
24	0	-78.17626	-67.19632	-10.97994	5.230038e+07	1	0.123959	0.0257888	0.0287784	0.0386466	0.13002	0.0886372	0.0474585	0.0499335	0.0664553	0.252226	0.0991723	0.0227761	0.0478374	0.0880649	0.048636	0.258328	0.182778	0.498242	0.49956	0.500347	0.501851	0	62000	0.5488664	0.5488664	1	1.135111	0.666013	0.165649	0.0295705	0.138767	0.091267	0.352718	0.647282	0.908733	1	0.7515243	1	0.999824	0.999955	1.00005	1.00018	1.599495
25	1	-68.78286	-71.86587	3.08301	1e+08	0	0.00407141	0.0318789	0.00380512	0.15485	0.229937	0.195214	0.0908183	0.107738	0.0605171	0.160082	0.341002	0.141721	0.0780801	0.224333	0.0201608	0.226447	0.114011	0.00356202	0.19469	0.80531	0.996438	1	0.1944802	1	0.2176516	0.3823646	0.3823646	0.182969	0.41163	0.231741	0.17366	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	2.184667
26	0	-59.47498	-64.37707	4.902089	1e+08	0	0.123959	0.0349715	0.0287784	0.0373889	0.13002	0.0841323	0.10894	0.0562297	0.0664553	0.27337	0.0991723	0.0227761	0.0478374	0.0407324	0.0331883	0.153139	0.182778	0.245955	0.4282	0.5718	0.754046	1	2.737652	1	1.116103	2.232173	2.232173	0.505894	0.233014	0.0617671	0.199325	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.523868
27	1	-85.79135	-70.4717	-15.31965	4359181	1	0.00407141	0.0318789	0.00380512	0.198881	0.162617	0.146664	0.0966436	0.107738	0.0997384	0.160082	0.341002	0.150633	0.0780801	0.239923	0.0201608	0.226447	0.154601	0.498242	0.49956	0.500347	0.501851	0	62000	0.01228396	0.01228396	0.6006609	0.6006609	0.28178	0.367408	0.181979	0.168832	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999391	0.999844	1.00016	1.00061	2.222965
28	0	-74.92859	-62.64755	-12.28104	9032181	1	0.0596593	0.0349715	0.0316488	0.0598523	0.119191	0.0841323	0.136953	0.0562297	0.0664553	0.415152	0.138236	0.0208555	0.0417268	0.0496694	0.0364016	0.14765	0.374973	0.498242	0.49956	0.500347	0.501851	0	62000	0.1909873	0.1909873	0.875414	0.875414	0.100123	0.175696	0.0395282	0.684653	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999577	0.999892	1.00011	1.00042	1.873758
29	1	-69.37793	-72.12495	2.747026	1e+08	0	0.00544837	0.0424382	0.00380512	0.0990076	0.162617	0.146664	0.100141	0.107738	0.0997384	0.151669	0.341002	0.150633	0.0492152	0.26707	0.0243992	0.166164	0.14518	0.498242	0.49956	0.500347	0.501851	0	62000	0.1028161	0.1028161	2.464475	2.464475	0.163942	0.426488	0.266619	0.142952	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	2.062931
30	0	-75.07355	-62.16463	-12.90892	6.206857e+07	1	0.0596593	0.0214851	0.0197584	0.048146	0.105084	0.0841323	0.166394	0.0630539	0.0664553	0.369849	0.0933285	0.0208555	0.0417268	0.0649915	0.0309462	0.17955	0.252148	0.27296	0.437262	0.562738	0.727039	1	3.532543	1	0.06630196	0.5708652	0.5708652	0.0386917	0.335914	0.0261949	0.599199	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999839	0.999959	1.00004	1.00016	1.687565
