Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
210	-79.66165	-57.1158	-22.54585	1e+08	0	0.10616	0.0775622	0.0497834	0.0286316	0.0302269	0.359202	0.00441579	0.0202711	0.0150606	0.036117	0.0735151	0.256434	0.00871954	0.140416	0.0140713	0.187085	0.130809	0.495437	0.498845	0.50113	0.504589	1	9644.544	1	11726.15	35395.93	35395.93	0.398251	0.418721	0.169473	0.0135559	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.53848
220	-71.22496	-58.73668	-12.48828	1e+08	0	0.037751	0.00950326	0.229254	0.0854273	0.0680862	0.135553	0.0123205	0.0136426	0.096692	0.121084	0.0564407	0.136958	0.0125086	0.33389	0.0188627	0.224828	0.0434103	0.498242	0.49956	0.500347	0.501851	0	62000	54668.76	54668.76	51468.84	51468.84	0.227953	0.08422	0.662244	0.0255835	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	1.636212
230	-82.531	-61.18759	-21.34341	1e+08	0	0.259815	0.0681358	0.226072	0.0110541	0.0460535	0.0229808	0.0542248	0.0358497	0.0173475	0.0347449	0.0945257	0.0165408	0.142969	0.0389343	0.124341	0.184917	0.0397311	0.497469	0.499378	0.500585	0.502568	1	31066.33	1	2642.836	15883.26	15883.26	0.287555	0.346298	0.192448	0.173699	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.418236
240	-77.78697	-64.00664	-13.78033	1e+08	0	0.175276	0.110318	0.0636888	0.00881755	0.158546	0.00373032	0.516635	0.126568	0.0157448	0.0695186	0.114895	0.00825954	0.00605864	0.108178	0.095517	0.149698	0.0339699	0.498242	0.49956	0.500347	0.501851	0	62000	54872.18	54872.18	47834.59	47834.59	0.150273	0.167934	0.612264	0.0695284	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999873	0.999968	1.00003	1.00013	1.765417
250	-99.19893	-61.62282	-37.57611	5.281662e+07	1	0.0595282	0.104583	0.0321205	0.151133	0.087511	0.00356829	0.135569	0.0487037	0.0547015	0.0310669	0.0234373	0.00289087	0.0120315	0.0667643	0.0640714	0.048444	0.273313	0.498242	0.49956	0.500347	0.501851	0	62000	42659.98	42659.98	1	21027.16	0.280603	0.253475	0.392539	0.0733838	0.497755	0.499449	0.500502	0.502294	1	39215.98	1	0.999825	0.999955	1.00004	1.00017	1.199438
260	-91.81764	-63.26922	-28.54842	1e+08	0	0.158231	0.11825	0.022996	0.056362	0.248396	0.0141507	0.200655	0.0142411	0.22826	0.314741	0.037516	0.00877203	0.0442961	0.122746	0.261951	0.0906204	0.196554	0.497179	0.499325	0.500679	0.502816	1	25427.64	1	42893.33	23754.14	23754.14	0.405039	0.0218385	0.322597	0.250525	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999873	0.999968	1.00003	1.00013	2.138738
270	-91.09148	-61.93171	-29.15976	6.286847e+07	1	0.145163	0.112161	0.0945146	0.0453706	0.0999264	0.0636685	0.0562454	0.0459263	0.101485	0.108603	0.0218794	0.00928257	0.0338358	0.020905	0.0672444	0.259429	0.175652	0.498242	0.49956	0.500347	0.501851	0	62000	1149.595	1149.595	1615.706	1615.706	0.37705	0.118595	0.455433	0.0489209	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.99984	0.999958	1.00004	1.00016	1.461293
280	-96.33825	-63.60529	-32.73297	1.350785e+07	1	0.118807	0.0409478	0.0380845	0.0786195	0.0387024	0.0621538	0.154133	0.030804	0.493511	0.0689926	0.00830098	0.00939184	0.206676	0.0528224	0.0881738	0.123739	0.204753	0.498242	0.49956	0.500347	0.501851	0	62000	29578.1	29578.1	43334.02	43334.02	0.106109	0.0807494	0.755696	0.0574455	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999654	0.999912	1.00009	1.00035	1.818613
290	-85.31815	-56.76251	-28.55564	9.296229e+07	1	0.160598	0.0626497	0.0821504	0.0524477	0.0327793	0.153106	0.134545	0.0199286	0.0538446	0.076312	0.0037259	0.00269248	0.0633984	0.195261	0.060037	0.123042	0.124363	0.498242	0.49956	0.500347	0.501851	0	62000	46592.7	46592.7	20378.95	20378.95	0.143857	0.634547	0.170906	0.0506904	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999869	0.999966	1.00003	1.00013	1.40088
300	-97.964	-60.66416	-37.29984	1e+08	0	0.242501	0.282164	0.223381	0.048772	0.00803892	0.0494662	0.032625	0.00574078	0.207308	0.103729	0.0106575	0.0808189	0.0494548	0.227354	0.0366145	0.0784708	0.223294	0.498073	0.499554	0.50042	0.501952	1	53689.82	1	45992.5	1	37271.22	0.370047	0.0763706	0.293647	0.259935	0.49729	0.499371	0.500658	0.50268	1	27805.29	1	0.999873	0.999968	1.00003	1.00013	1.91039
310	-72.63048	-59.20595	-13.42453	1e+08	0	0.319558	0.0648337	0.144945	0.104893	0.00624776	0.153569	0.0425641	0.0528912	0.0181841	0.0456362	0.00578917	0.116277	0.290329	0.135272	0.109013	0.0609953	0.058839	0.498242	0.49956	0.500347	0.501851	0	62000	47763.4	47763.4	39872.41	39872.41	0.0845822	0.185844	0.255376	0.474197	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999873	0.999968	1.00003	1.00013	1.729837
320	-96.19602	-58.95767	-37.23835	9.736761e+07	1	0.158881	0.027094	0.133056	0.133575	0.0223174	0.048982	0.0508002	0.0369937	0.00417311	0.00604455	0.018025	0.081211	0.0125156	0.14802	0.100928	0.118902	0.0641445	0.498242	0.49956	0.500347	0.501851	0	62000	18319.73	18319.73	1	2241.829	0.107847	0.51931	0.0434938	0.329349	0.491387	0.497821	0.502191	0.508601	1	2725.781	3	0.999871	0.999967	1.00003	1.00013	1.165662
330	-96.27667	-58.32032	-37.95635	4.033337e+07	1	0.386217	0.115246	0.111195	0.180499	0.177407	0.352005	0.0402407	0.0699532	0.0117635	0.00460885	0.047191	0.152939	0.00362286	0.034174	0.215839	0.294561	0.143489	0.498242	0.49956	0.500347	0.501851	0	62000	54173.21	54173.21	616.3305	616.3305	0.729741	0.0280472	0.164678	0.0775345	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.9998	0.999949	1.00005	1.0002	2.340951
340	-91.96664	-59.2318	-32.73484	9.873076e+07	1	0.145799	0.095439	0.0333861	0.0777222	0.0385459	0.257153	0.0825706	0.0238247	0.00570252	0.00655938	0.135138	0.0590257	0.00309476	0.215236	0.25674	0.340112	0.0427514	0.498242	0.49956	0.500347	0.501851	0	62000	20861.66	20861.66	45183.22	45183.22	0.670418	0.0207855	0.0863086	0.222488	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999872	0.999967	1.00003	1.00013	1.8188
350	-90.00511	-55.12754	-34.87757	5.330796e+07	1	0.175103	0.0262105	0.00433257	0.261165	0.0381065	0.19921	0.301064	0.0557877	0.0251093	0.128509	0.0591236	0.0124615	0.0223606	0.0205811	0.370901	0.24359	0.0894579	0.498242	0.49956	0.500347	0.501851	0	62000	55824.72	55824.72	11023.67	11023.67	0.718893	0.00663203	0.217882	0.0565938	0.498242	0.49956	0.500347	0.501851	0	62000	3	0.999826	0.999955	1.00004	1.00017	2.033074
360	-93.36588	-60.95196	-32.41392	3.673284e+07	1	0.344568	0.0143857	0.0225761	0.169325	0.0135661	0.0443334	0.0782554	0.0327885	0.271621	0.129144	0.0400627	0.0372123	0.0261013	0.0247206	0.0989821	0.283111	0.155956	0.498242	0.49956	0.500347	0.501851	0	62000	1980.541	1980.541	42615.24	42615.24	0.0650808	0.0146838	0.456796	0.463439	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999791	0.999946	1.00005	1.00021	1.786709
370	-87.96205	-54.78769	-33.17436	9.477217e+07	1	0.254866	0.14419	0.00969795	0.076476	0.00870679	0.104181	0.16853	0.0468479	0.0393062	0.122324	0.107978	0.116853	0.162382	0.0187021	0.0828112	0.179034	0.219866	0.498242	0.49956	0.500347	0.501851	0	62000	27638.33	27638.33	7374.752	7374.752	0.393016	0.0232912	0.0275528	0.55614	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999869	0.999966	1.00003	1.00013	1.862753
380	-111.2497	-57.03827	-54.21141	5.318647e+07	1	0.115518	0.346563	0.00418497	0.0571886	0.00206248	0.247303	0.0244946	0.0697387	0.0764016	0.15703	0.151905	0.197713	0.0309069	0.041282	0.0457039	0.142388	0.0490954	0.484891	0.496144	0.50385	0.515115	1	884.0248	1	30510.61	1	52476.56	0.147961	0.52286	0.16162	0.167558	0.497233	0.499316	0.500651	0.502801	1	26061.3	1	0.999826	0.999956	1.00004	1.00017	1.759479
390	-69.33634	-57.19303	-12.14332	1e+08	0	0.120233	0.0447076	0.00332082	0.0358107	0.011915	0.0738836	0.114106	0.0676208	0.049767	0.156719	0.155904	0.180327	0.0123132	0.0314416	0.104191	0.160373	0.279082	0.498242	0.49956	0.500347	0.501851	0	62000	31368.83	31368.83	25762.57	25762.57	0.218308	0.0306055	0.624595	0.126492	0.498242	0.49956	0.500347	0.501851	0	62000	1	0.999873	0.999968	1.00003	1.00013	1.601716
400	-83.44373	-54.47716	-28.96657	7.9456e+07	1	0.0924246	0.0884104	0.025185	0.14818	0.0103258	0.0889948	0.0404491	0.0463813	0.0528878	0.032197	0.0640369	0.0503361	0.0494622	0.178251	0.0736504	0.371832	0.0289691	0.498242	0.49956	0.500347	0.501851	0	62000	46379.01	46379.01	19997.5	19997.5	0.106673	0.0936765	0.219954	0.579696	0.498242	0.49956	0.500347	0.501851	0	62000	2	0.999857	0.999963	1.00004	1.00014	1.441973
