
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/nuclear_MCMC.Rev")
   Processing file "scripts/nuclear_MCMC.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 57 different moves in a random move schedule with 81 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
40000       |    -2.5445e+06   |   -2.54452e+06   |        19.0432   |   02:23:45   |   00:35:56   |
41000       |   -2.54449e+06   |   -2.54451e+06   |        19.0425   |   02:27:21   |   00:32:20   |
42000       |   -2.54449e+06   |   -2.54451e+06   |        19.0306   |   02:30:56   |   00:28:44   |
43000       |    -2.5445e+06   |   -2.54452e+06   |        19.0216   |   02:34:31   |   00:25:09   |
44000       |    -2.5445e+06   |   -2.54452e+06   |        19.0257   |   02:38:06   |   00:21:33   |
45000       |   -2.54451e+06   |   -2.54453e+06   |        19.0062   |   02:41:41   |   00:17:57   |
46000       |    -2.5445e+06   |   -2.54451e+06   |         19.009   |   02:45:16   |   00:14:22   |
47000       |    -2.5445e+06   |   -2.54452e+06   |        19.0498   |   02:48:52   |   00:10:46   |
48000       |    -2.5445e+06   |   -2.54452e+06   |        19.0383   |   02:52:27   |   00:07:11   |
49000       |   -2.54449e+06   |   -2.54451e+06   |        19.0613   |   02:56:03   |   00:03:35   |
50000       |   -2.54449e+06   |   -2.54451e+06   |        19.0261   |   02:59:39   |   00:00:00   |
   Processing of file "scripts/nuclear_MCMC.Rev" completed
> 
