
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
27000       |       -157.889   |       -132.224   |       -25.6655   |              0   |              1   |              0   |              2   |   02:45:56   |   07:28:38   |
28000       |       -167.419   |       -129.981   |       -37.4382   |              0   |              1   |              1   |              1   |   02:52:05   |   07:22:30   |
29000       |       -149.483   |       -126.924   |       -22.5593   |              0   |              1   |              0   |              1   |   02:58:13   |   07:16:19   |
30000       |       -162.523   |       -132.046   |       -30.4768   |              1   |              0   |              0   |              1   |   03:04:24   |   07:10:16   |
31000       |       -165.475   |       -135.038   |       -30.4367   |              1   |              0   |              0   |              1   |   03:10:34   |   07:04:09   |
32000       |       -148.101   |        -132.47   |       -15.6316   |              0   |              0   |              0   |              2   |   03:16:39   |   06:57:52   |
33000       |       -140.011   |       -126.687   |       -13.3238   |              0   |              0   |              0   |              1   |   03:22:50   |   06:51:48   |
34000       |       -165.506   |        -130.82   |       -34.6856   |              0   |              1   |              1   |              1   |   03:29:01   |   06:45:44   |
35000       |       -180.756   |       -128.326   |         -52.43   |              1   |              1   |              1   |              1   |   03:35:10   |   06:39:35   |
36000       |       -146.678   |       -131.674   |       -15.0042   |              0   |              0   |              0   |              1   |   03:41:13   |   06:33:16   |
37000       |       -180.207   |       -132.834   |       -47.3732   |              1   |              1   |              1   |              1   |   03:47:22   |   06:27:08   |
38000       |       -142.743   |       -130.776   |       -11.9666   |              0   |              0   |              0   |              2   |   03:53:26   |   06:20:51   |
39000       |       -177.731   |       -130.979   |       -46.7525   |              1   |              1   |              0   |              2   |   03:59:36   |   06:14:45   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
40000       |        -139.58   |       -132.568   |       -7.01241   |              0   |              0   |              0   |              1   |   04:05:38   |   06:08:27   |
41000       |       -172.717   |       -131.619   |       -41.0974   |              1   |              1   |              0   |              1   |   04:11:42   |   06:02:12   |
42000       |       -150.562   |       -133.118   |       -17.4445   |              0   |              0   |              0   |              2   |   04:17:50   |   05:56:03   |
43000       |       -146.773   |       -135.412   |       -11.3608   |              0   |              0   |              0   |              3   |   04:23:58   |   05:49:54   |
44000       |        -177.39   |       -133.075   |        -44.315   |              1   |              0   |              1   |              1   |   04:30:02   |   05:43:40   |
45000       |       -149.873   |       -128.879   |       -20.9935   |              0   |              0   |              1   |              2   |   04:36:11   |   05:37:33   |
46000       |        -161.06   |       -128.326   |       -32.7338   |              1   |              0   |              0   |              2   |   04:42:15   |   05:31:20   |
47000       |       -139.598   |       -127.895   |       -11.7038   |              0   |              0   |              0   |              2   |   04:48:28   |   05:25:17   |
48000       |       -142.703   |       -130.966   |        -11.737   |              0   |              0   |              0   |              3   |   04:54:34   |   05:19:06   |
49000       |       -174.284   |       -131.679   |       -42.6048   |              1   |              1   |              0   |              2   |   05:00:40   |   05:12:56   |
50000       |       -152.113   |       -128.921   |       -23.1922   |              0   |              1   |              0   |              1   |   05:06:48   |   05:06:48   |
51000       |       -173.953   |       -131.164   |       -42.7894   |              1   |              1   |              0   |              1   |   05:12:52   |   05:00:35   |
52000       |        -159.17   |       -127.488   |       -31.6815   |              1   |              0   |              0   |              1   |   05:18:58   |   04:54:25   |
53000       |        -148.77   |       -136.081   |        -12.689   |              0   |              0   |              0   |              1   |   05:25:06   |   04:48:17   |
54000       |       -155.442   |       -129.496   |        -25.946   |              0   |              0   |              1   |              1   |   05:31:12   |   04:42:08   |
55000       |        -159.66   |        -131.77   |       -27.8897   |              1   |              0   |              0   |              1   |   05:37:23   |   04:36:02   |
56000       |       -163.619   |       -124.213   |        -39.406   |              1   |              1   |              0   |              1   |   05:43:25   |   04:29:49   |
57000       |       -172.584   |       -129.422   |       -43.1614   |              1   |              1   |              0   |              2   |   05:49:25   |   04:23:35   |
58000       |        -148.74   |       -127.361   |       -21.3795   |              0   |              1   |              0   |              2   |   05:55:35   |   04:17:29   |
59000       |       -169.008   |       -132.006   |       -37.0023   |              1   |              1   |              0   |              2   |   06:01:44   |   04:11:22   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
60000       |       -157.944   |       -128.447   |       -29.4973   |              1   |              0   |              0   |              1   |   06:07:51   |   04:05:14   |
61000       |        -149.48   |       -126.655   |       -22.8257   |              0   |              1   |              0   |              1   |   06:13:57   |   03:59:04   |
62000       |       -147.935   |       -126.375   |         -21.56   |              0   |              0   |              1   |              1   |   06:20:06   |   03:52:57   |
63000       |       -136.005   |       -126.417   |       -9.58833   |              0   |              0   |              0   |              1   |   06:26:19   |   03:46:53   |
64000       |       -171.057   |       -136.665   |        -34.392   |              1   |              0   |              0   |              2   |   06:32:20   |   03:40:41   |
65000       |        -158.66   |        -134.57   |         -24.09   |              0   |              1   |              0   |              1   |   06:38:22   |   03:34:30   |
66000       |       -158.068   |       -132.285   |       -25.7835   |              0   |              1   |              0   |              2   |   06:44:25   |   03:28:20   |
67000       |       -175.766   |       -136.137   |       -39.6287   |              1   |              0   |              1   |              3   |   06:50:34   |   03:22:13   |
68000       |       -161.495   |       -126.832   |       -34.6627   |              0   |              1   |              1   |              1   |   06:56:40   |   03:16:04   |
69000       |       -147.742   |       -125.158   |       -22.5836   |              0   |              1   |              0   |              2   |   07:02:47   |   03:09:56   |
70000       |       -156.791   |       -127.662   |       -29.1294   |              1   |              0   |              0   |              2   |   07:08:54   |   03:03:48   |
71000       |       -160.535   |       -131.131   |       -29.4037   |              0   |              1   |              1   |              1   |   07:15:00   |   02:57:40   |
72000       |       -158.315   |       -129.059   |       -29.2561   |              0   |              1   |              1   |              1   |   07:21:07   |   02:51:32   |
73000       |       -154.344   |       -136.482   |        -17.862   |              0   |              1   |              0   |              2   |   07:27:13   |   02:45:24   |
74000       |       -167.387   |        -129.66   |       -37.7268   |              1   |              1   |              0   |              1   |   07:33:17   |   02:39:15   |
75000       |        -163.09   |       -130.003   |        -33.087   |              0   |              1   |              1   |              1   |   07:39:27   |   02:33:09   |
76000       |       -148.874   |        -128.48   |       -20.3936   |              0   |              1   |              0   |              2   |   07:45:33   |   02:27:00   |
77000       |       -136.778   |       -127.184   |       -9.59414   |              0   |              0   |              0   |              2   |   07:51:41   |   02:20:53   |
78000       |       -145.921   |       -131.342   |       -14.5792   |              0   |              0   |              0   |              1   |   07:57:47   |   02:14:45   |
79000       |       -154.535   |       -126.751   |       -27.7839   |              1   |              0   |              0   |              1   |   08:03:54   |   02:08:37   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
80000       |       -144.552   |        -136.94   |       -7.61159   |              0   |              0   |              0   |              2   |   08:09:59   |   02:02:29   |
81000       |       -173.133   |       -132.647   |       -40.4863   |              1   |              1   |              0   |              2   |   08:16:08   |   01:56:22   |
82000       |       -143.869   |       -132.166   |       -11.7024   |              0   |              0   |              0   |              1   |   08:22:14   |   01:50:14   |
83000       |       -139.838   |       -127.325   |       -12.5127   |              0   |              0   |              0   |              1   |   08:28:17   |   01:44:06   |
84000       |       -180.547   |       -135.693   |       -44.8542   |              1   |              1   |              0   |              1   |   08:34:23   |   01:37:58   |
85000       |       -136.691   |       -128.039   |       -8.65254   |              0   |              0   |              0   |              3   |   08:40:26   |   01:31:50   |
86000       |       -141.208   |       -125.353   |       -15.8549   |              0   |              0   |              0   |              3   |   08:46:31   |   01:25:42   |
87000       |        -172.45   |       -133.262   |       -39.1875   |              1   |              1   |              0   |              1   |   08:52:40   |   01:19:35   |
88000       |       -154.353   |       -130.186   |       -24.1669   |              0   |              1   |              0   |              2   |   08:58:49   |   01:13:28   |
89000       |       -155.345   |       -134.023   |       -21.3229   |              0   |              1   |              0   |              1   |   09:04:55   |   01:07:20   |
90000       |       -166.784   |        -127.93   |       -38.8538   |              1   |              0   |              1   |              1   |   09:11:00   |   01:01:13   |
91000       |        -142.26   |       -131.962   |       -10.2982   |              0   |              0   |              0   |              3   |   09:17:06   |   00:55:05   |
92000       |       -140.532   |       -127.772   |       -12.7601   |              0   |              0   |              0   |              1   |   09:23:09   |   00:48:58   |
93000       |       -146.935   |       -125.032   |       -21.9027   |              0   |              1   |              0   |              1   |   09:29:17   |   00:42:50   |
94000       |       -138.603   |       -127.405   |       -11.1978   |              0   |              0   |              0   |              1   |   09:35:23   |   00:36:43   |
95000       |       -180.407   |       -133.594   |       -46.8127   |              1   |              1   |              0   |              2   |   09:41:28   |   00:30:36   |
96000       |       -152.885   |       -127.481   |       -25.4037   |              0   |              1   |              0   |              2   |   09:47:33   |   00:24:28   |
97000       |       -167.423   |       -131.478   |       -35.9456   |              0   |              1   |              1   |              1   |   09:53:41   |   00:18:21   |
98000       |       -158.589   |       -130.214   |       -28.3759   |              1   |              0   |              0   |              2   |   09:59:45   |   00:12:14   |
99000       |       -160.657   |       -130.611   |       -30.0453   |              1   |              0   |              0   |              1   |   10:05:50   |   00:06:07   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
100000      |       -164.235   |       -132.354   |       -31.8816   |              1   |              0   |              0   |              3   |   10:11:56   |   00:00:00   |
