Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
39	1	-2546522	-2546520	-1.680944	3.291607e+07	1	0.0124672	0.012725	0.00384284	0.10309	0.00219176	0.094493	0.0399921	0.114499	0.733281	0.00325833	0.00372041	0.00777776	0.0298145	0.00395905	0.00428539	0.0150031	0.00271142	0.520554	0	0.114603	0.207737	0	0.157106	0.520554	0.114603	0.207737	0.157106	8.063573e-07	0.282248	0.217775	0.217692	0.282284	4	0.999778	0.999944	1.00006	1.00022	1.187111
40	0	-2544242	-2544240	-1.955924	4.038224e+07	1	0.00515172	0.0128399	0.00396287	0.101561	0.00214726	0.0948197	0.0403221	0.114002	0.735278	0.00331533	0.0075813	0.0150867	0.00804514	0.00719898	0.0026113	0.00446123	0.0293025	0.272553	0	0.228654	0.225957	0	0.272836	0.272553	0.228654	0.225957	0.272836	0.2692296	0.283693	0.216654	0.216746	0.282907	5	0.9998	0.999949	1.00005	1.0002	1.187686
41	1	-2546502	-2546519	16.73965	1e+08	0	0.0127243	0.012725	0.00384284	0.102893	0.00200707	0.0947569	0.0399921	0.11442	0.733281	0.00325833	0.00350933	0.00777776	0.0298145	0.00411898	0.00428539	0.0150031	0.00271142	0.00581464	0	0.895838	0.0347494	0	0.0635976	0.00581464	0.895838	0.0347494	0.0635976	4.87304e-07	0.282248	0.217775	0.217692	0.282284	4	0.999873	0.999968	1.00003	1.00013	1.18712
42	0	-2544223	-2544238	15.09368	1e+08	0	0.00515172	0.0128399	0.00396287	0.101561	0.00208368	0.0948197	0.0403221	0.114095	0.735278	0.00331533	0.0075813	0.0150867	0.00804514	0.00719898	0.00258064	0.00442243	0.0293025	0.272553	0	0.228654	0.225957	0	0.272836	0.272553	0.228654	0.225957	0.272836	1.640704	0.283693	0.216654	0.216746	0.282907	5	0.999873	0.999968	1.00003	1.00013	1.187647
43	1	-2546521	-2546519	-1.713024	6.159333e+07	1	0.0122596	0.0130241	0.00388718	0.102893	0.00204041	0.0947569	0.0399921	0.11442	0.736584	0.00325532	0.0039235	0.00777776	0.0293273	0.00411898	0.00434455	0.0150031	0.00271142	0.0452612	0	0.417631	0.097378	0	0.43973	0.0452612	0.417631	0.097378	0.43973	1.069604e-06	0.282172	0.217986	0.217633	0.282208	4	0.999838	0.999959	1.00004	1.00016	1.190319
44	0	-2544223	-2544239	16.11282	1e+08	0	0.00500462	0.0128399	0.00396287	0.101561	0.00210536	0.0948197	0.0403221	0.114095	0.735278	0.00331145	0.00774931	0.0150867	0.00814045	0.00736069	0.0025954	0.00442243	0.0297084	0.272576	0	0.228673	0.225976	0	0.272776	0.272576	0.228673	0.225976	0.272776	0.6144048	0.283693	0.216654	0.216746	0.282907	5	0.999873	0.999968	1.00003	1.00013	1.188363
45	1	-2546502	-2546519	16.71448	1e+08	0	0.0120276	0.01265	0.00401853	0.102893	0.00204041	0.0947569	0.0399921	0.11442	0.736584	0.00331557	0.00345585	0.00789113	0.0293273	0.00411898	0.00443057	0.0150031	0.00271142	0.335758	0	0.477908	0.149002	0	0.0373327	0.335758	0.477908	0.149002	0.0373327	4.838314e-06	0.281873	0.21729	0.217448	0.283389	4	0.999873	0.999968	1.00003	1.00013	1.189637
46	0	-2544222	-2544238	15.53603	1e+08	0	0.00500462	0.0128399	0.00396287	0.101561	0.00203281	0.0948197	0.0402218	0.114095	0.735278	0.00331145	0.00750147	0.0148914	0.00816321	0.00736069	0.00258986	0.00442243	0.0295106	0.272764	0	0.228831	0.225441	0	0.272964	0.272764	0.228831	0.225441	0.272964	1.199158	0.283693	0.216654	0.216746	0.282907	5	0.999873	0.999968	1.00003	1.00013	1.187566
47	1	-2546501	-2546518	16.69735	1e+08	0	0.0125027	0.0128926	0.00393083	0.102893	0.00204041	0.0947569	0.0399921	0.115408	0.736273	0.00321121	0.00387858	0.0078278	0.0293273	0.00426985	0.00443057	0.0150031	0.00271142	0.20467	0	0.343895	0.291795	0	0.15964	0.20467	0.343895	0.291795	0.15964	2.580028e-06	0.281873	0.21729	0.217448	0.283389	4	0.999873	0.999968	1.00003	1.00013	1.191349
48	0	-2544247	-2544243	-4.326049	7.194764e+07	1	0.00483875	0.0128399	0.00396287	0.101256	0.00203281	0.0947967	0.0402218	0.114095	0.735278	0.00348379	0.0077086	0.0148914	0.00816321	0.00730502	0.00255828	0.00456892	0.0295106	0.272764	0	0.228831	0.225441	0	0.272964	0.272764	0.228831	0.225441	0.272964	2.641109	0.283693	0.216654	0.216746	0.282907	5	0.99985	0.999962	1.00004	1.00015	1.187511
