Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er_trans[1]	er_trans[2]	er_trans[3]	er_trans[4]	pi[1]	pi[2]	pi[3]	pi[4]
20	0	-2544514	-2544533	19.02432	0.00578298	0.0127387	0.00444976	0.102341	0.00202427	0.0950876	0.0403502	0.118288	0.731961	0.00325454	0.00716715	0.00454346	0.0340965	0.00427305	0.00261361	0.00431449	0.0156248	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283578	0.218893	0.216464	0.281065
21	1	-2544256	-2544275	19.08913	0.00502584	0.0125367	0.00403365	0.102726	0.00204607	0.0947357	0.0406059	0.115138	0.728589	0.00325511	0.00756172	0.0293887	0.00778253	0.00446635	0.00248457	0.00743736	0.0146171	0.274794	0	0.232607	0.225994	0	0.266605	0.274794	0.232607	0.225994	0.266605	0.281241	0.216435	0.219236	0.283088
22	0	-2544512	-2544531	19.03391	0.00553307	0.0124892	0.00431271	0.102581	0.00210325	0.0947945	0.0399464	0.118558	0.731077	0.00328883	0.00771981	0.00439693	0.033922	0.00433464	0.00254848	0.00441944	0.0159267	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283578	0.218893	0.216464	0.281065
23	1	-2544254	-2544273	19.04481	0.00530467	0.0127061	0.00394073	0.102011	0.00205971	0.0940219	0.0404465	0.115121	0.734465	0.00324804	0.00762928	0.0289082	0.00775431	0.0045087	0.00252594	0.0075289	0.0146822	0.274794	0	0.232607	0.225994	0	0.266605	0.274794	0.232607	0.225994	0.266605	0.281241	0.216435	0.219236	0.283088
24	0	-2544511	-2544530	18.98645	0.00546087	0.0126118	0.0043983	0.100756	0.00199744	0.0945236	0.0400845	0.11852	0.73757	0.00337516	0.00766367	0.00439598	0.0341611	0.00423491	0.00258794	0.00443588	0.015922	0.269402	0	0.23013	0.226749	0	0.273719	0.269402	0.23013	0.226749	0.273719	0.283355	0.21872	0.216294	0.281631
25	1	-2544245	-2544264	19.03425	0.00518965	0.0128004	0.0039148	0.102534	0.00205573	0.0949186	0.0403971	0.114558	0.734108	0.00322359	0.00765469	0.0295008	0.00753247	0.00456143	0.00250642	0.00747982	0.0149829	0.271759	0	0.230037	0.223022	0	0.275183	0.271759	0.230037	0.223022	0.275183	0.281241	0.216435	0.219236	0.283088
26	0	-2544512	-2544531	19.02246	0.00566886	0.0127739	0.00420146	0.101973	0.00202825	0.095049	0.0402693	0.1187	0.731491	0.00331585	0.00734521	0.00452226	0.0343153	0.00447984	0.00271071	0.00472646	0.0155278	0.269067	0	0.229844	0.226468	0	0.274621	0.269067	0.229844	0.226468	0.274621	0.283355	0.21872	0.216294	0.281631
27	1	-2544249	-2544268	19.02953	0.00550433	0.0125702	0.0035929	0.102917	0.00198329	0.0948842	0.040009	0.114945	0.734601	0.00320698	0.00752249	0.0296121	0.00746125	0.00467391	0.00261714	0.00735259	0.0149375	0.271759	0	0.230037	0.223022	0	0.275183	0.271759	0.230037	0.223022	0.275183	0.281241	0.216435	0.219236	0.283088
28	0	-2544507	-2544526	19.05052	0.00544276	0.0127467	0.00451874	0.101736	0.00211815	0.0943579	0.0398398	0.118108	0.731028	0.00321674	0.00743869	0.00439393	0.0341745	0.00432675	0.00260879	0.00453568	0.0157013	0.269602	0	0.230301	0.226918	0	0.273179	0.269602	0.230301	0.226918	0.273179	0.283355	0.21872	0.216294	0.281631
29	1	-2544247	-2544266	19.06587	0.00516884	0.0126174	0.00372216	0.101467	0.00206241	0.0945434	0.0399781	0.115221	0.732571	0.00318262	0.00747377	0.0294396	0.00784979	0.00463444	0.00265162	0.007291	0.0148837	0.271759	0	0.230037	0.223022	0	0.275183	0.271759	0.230037	0.223022	0.275183	0.281241	0.216435	0.219236	0.283088
30	0	-2544507	-2544526	19.00683	0.00535826	0.0127244	0.00428394	0.101989	0.00210481	0.0948823	0.0400777	0.118533	0.73372	0.00321145	0.00759942	0.004403	0.034378	0.0043988	0.00258167	0.00444939	0.0159648	0.269602	0	0.230301	0.226918	0	0.273179	0.269602	0.230301	0.226918	0.273179	0.283355	0.21872	0.216294	0.281631
31	1	-2544251	-2544270	19.03017	0.00465277	0.0125434	0.0038764	0.103216	0.00209464	0.0950133	0.0402012	0.113837	0.735285	0.00328523	0.00754934	0.0292521	0.00835688	0.00439297	0.0026037	0.00712931	0.015037	0.271759	0	0.230037	0.223022	0	0.275183	0.271759	0.230037	0.223022	0.275183	0.281241	0.216435	0.219236	0.283088
32	0	-2544509	-2544528	19.04303	0.00559445	0.0128185	0.00435083	0.101704	0.00191285	0.0944627	0.0398717	0.118251	0.731958	0.00340882	0.00750465	0.00435395	0.0333955	0.0045356	0.00258119	0.00460575	0.0157312	0.269602	0	0.230301	0.226918	0	0.273179	0.269602	0.230301	0.226918	0.273179	0.283355	0.21872	0.216294	0.281631
