
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/avg_morpho_MCMC.Rev")
   Processing file "scripts/avg_morpho_MCMC.Rev"
   Processing file "scripts/avg_morpho_setup.Rev"
   Successfully read one character matrix from file '/home/petrucci/canid_tree/data/extant_morpho.nex'
   Processing of file "scripts/avg_morpho_setup.Rev" completed
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 30 different moves in a random move schedule with 102.5 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
73000       |       -261.606   |       -226.625   |       -34.9811   |              1   |              0   |              1   |              2   |   04:41:44   |   01:44:12   |
74000       |       -258.171   |       -223.773   |        -34.398   |              1   |              0   |              1   |              2   |   04:45:35   |   01:40:20   |
75000       |        -272.34   |       -233.783   |       -38.5565   |              1   |              0   |              1   |              3   |   04:49:26   |   01:36:28   |
76000       |       -268.122   |       -221.601   |       -46.5212   |              1   |              1   |              1   |              3   |   04:53:17   |   01:32:36   |
77000       |       -268.039   |       -221.804   |       -46.2342   |              1   |              1   |              1   |              2   |   04:57:08   |   01:28:45   |
78000       |       -261.626   |       -228.132   |       -33.4948   |              1   |              0   |              1   |              2   |   05:00:59   |   01:24:53   |
79000       |       -245.985   |       -230.337   |       -15.6484   |              0   |              0   |              1   |              3   |   05:04:51   |   01:21:02   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
80000       |       -267.144   |       -220.973   |       -46.1706   |              1   |              1   |              1   |              2   |   05:08:42   |   01:17:10   |
81000       |        -270.61   |       -224.855   |       -45.7554   |              1   |              1   |              1   |              3   |   05:12:34   |   01:13:19   |
82000       |       -259.442   |       -226.007   |       -33.4348   |              1   |              0   |              1   |              2   |   05:16:26   |   01:09:27   |
83000       |       -259.655   |       -226.652   |       -33.0036   |              1   |              0   |              1   |              2   |   05:20:17   |   01:05:36   |
84000       |       -264.806   |       -220.726   |       -44.0796   |              1   |              1   |              1   |              2   |   05:24:09   |   01:01:44   |
85000       |       -251.133   |       -224.578   |       -26.5558   |              0   |              1   |              1   |              3   |   05:28:01   |   00:57:53   |
86000       |       -245.404   |       -227.451   |       -17.9533   |              0   |              0   |              1   |              2   |   05:31:53   |   00:54:01   |
87000       |       -253.931   |       -224.844   |       -29.0876   |              0   |              1   |              1   |              3   |   05:35:44   |   00:50:10   |
88000       |       -247.879   |       -220.836   |       -27.0435   |              0   |              1   |              1   |              3   |   05:39:35   |   00:46:18   |
89000       |       -262.653   |       -226.817   |        -35.836   |              1   |              0   |              1   |              3   |   05:43:27   |   00:42:26   |
90000       |       -241.986   |       -225.946   |       -16.0402   |              0   |              0   |              1   |              3   |   05:47:16   |   00:38:35   |
91000       |       -246.848   |       -221.164   |       -25.6834   |              0   |              1   |              1   |              3   |   05:51:07   |   00:34:43   |
92000       |       -240.517   |       -224.989   |       -15.5277   |              0   |              0   |              1   |              2   |   05:54:59   |   00:30:52   |
93000       |       -251.858   |       -223.445   |       -28.4134   |              0   |              1   |              1   |              3   |   05:58:51   |   00:27:00   |
94000       |       -263.091   |       -226.628   |       -36.4632   |              1   |              0   |              1   |              3   |   06:02:42   |   00:23:09   |
95000       |        -272.11   |        -225.35   |       -46.7599   |              1   |              1   |              1   |              2   |   06:06:34   |   00:19:17   |
96000       |       -247.154   |       -220.697   |       -26.4567   |              0   |              1   |              1   |              3   |   06:10:27   |   00:15:26   |
97000       |        -279.48   |       -229.607   |       -49.8737   |              1   |              1   |              1   |              3   |   06:14:18   |   00:11:34   |
98000       |       -255.069   |       -226.889   |       -28.1798   |              0   |              1   |              1   |              2   |   06:18:10   |   00:07:43   |
99000       |       -258.632   |       -228.793   |       -29.8386   |              0   |              1   |              1   |              3   |   06:22:01   |   00:03:51   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   alpha_indi..   |   er_indicator   |   pi_indicator   |    Q_indicator   |    elapsed   |        ETA   |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
100000      |       -260.497   |       -227.006   |       -33.4908   |              1   |              0   |              1   |              2   |   06:25:53   |   00:00:00   |
