Iteration	Posterior	Likelihood	Prior	alpha	alpha_indicator	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	er_cats[1]	er_cats[2]	er_cats[3]	er_cats[4]	er_indicator	er_scale	m_er	m_er_dist	m_pi	m_pi_dist	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_cats[1]	pi_cats[2]	pi_cats[3]	pi_cats[4]	pi_indicator	pi_scale	Q_indicator	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
290	-242.4787	-224.1386	-18.3401	1e+08	0	0.192133	0.0296508	0.00435234	0.17298	0.00418417	0.0363605	0.107842	0.0350147	0.0368857	0.00892659	0.165982	0.0223344	0.109911	0.153636	0.0207372	0.00849108	0.00848662	0.498242	0.49956	0.500347	0.501851	0	62000	60982.9	60982.9	1	38405.64	0.247559	0.330691	0.0429966	0.378753	0.49822	0.499554	0.500354	0.501872	1	60574.27	3	0.999873	0.999968	1.00003	1.00013	1.117908
300	-242.8049	-224.9877	-17.8172	1e+08	0	0.180513	0.0117798	0.0095245	0.148457	0.0135724	0.0180364	0.0585398	0.0192713	0.0642989	0.0072681	0.165262	0.00200496	0.131582	0.174814	0.0183313	0.0401353	0.00222696	0.498242	0.49956	0.500347	0.501851	0	62000	14348.55	14348.55	1	47587.12	0.0456356	0.258865	0.657077	0.0384218	0.497582	0.49944	0.500572	0.502406	1	34712.75	3	0.999873	0.999968	1.00003	1.00013	1.065618
310	-243.6537	-227.9803	-15.67335	1e+08	0	0.137997	0.0157318	0.0450934	0.12617	0.00654742	0.00504996	0.0540295	0.0137992	0.0175582	0.0157907	0.200128	0.00330451	0.0721449	0.069978	0.00487454	0.0588557	0.00418072	0.498242	0.49956	0.500347	0.501851	0	62000	24310.53	24310.53	1	2239.126	0.131442	0.256011	0.445244	0.167302	0.49171	0.497892	0.5021	0.508298	1	2935.664	2	0.999873	0.999968	1.00003	1.00013	0.8512333
320	-268.8638	-223.7402	-45.12352	3.78975e+07	1	0.170757	0.0120761	0.00326196	0.082353	0.0263546	0.0143011	0.0763783	0.0290661	0.0174943	0.0104289	0.147632	0.00364615	0.0832601	0.13964	0.00793147	0.0190837	0.00702988	0.493145	0.498275	0.501738	0.506842	1	4306.207	1	32249.93	1	3409.611	0.0984874	0.315549	0.427622	0.158342	0.498146	0.499597	0.500412	0.501845	1	59038.36	2	0.999794	0.999947	1.00005	1.00021	0.8506939
330	-260.1417	-225.202	-34.93971	3.039428e+07	1	0.236546	0.0320199	0.00498429	0.170492	0.0147133	0.0173098	0.0407431	0.0541575	0.0331882	0.0125152	0.0889844	0.0104268	0.0631173	0.122665	0.0199648	0.00604644	0.00792655	0.498242	0.49956	0.500347	0.501851	0	62000	17178.71	17178.71	1	31650.94	0.300246	0.0574446	0.387442	0.254868	0.497924	0.499523	0.500469	0.502084	1	46697.46	2	0.999769	0.999941	1.00006	1.00023	0.9358006
340	-249.4318	-222.5741	-26.85775	1e+08	0	0.198928	0.0243311	0.00192644	0.115265	0.0324628	0.00557521	0.0302237	0.00825694	0.0375556	0.000326894	0.149425	0.0488726	0.0682243	0.0836961	0.0493339	0.00806001	0.00372153	0.498177	0.499558	0.500376	0.501889	1	58628.62	1	35402.72	1	13688.43	0.16612	0.11227	0.471984	0.249626	0.483747	0.495851	0.504143	0.516258	1	763.9472	2	0.999873	0.999968	1.00003	1.00013	0.8661849
350	-240.5356	-225.8553	-14.68028	1e+08	0	0.143191	0.0407011	0.0108617	0.0598637	0.0294096	0.0173533	0.0571606	0.00976537	0.0300176	0.000248419	0.152718	0.00567761	0.0475733	0.111831	0.0231656	0.00993546	0.00245227	0.498242	0.49956	0.500347	0.501851	0	62000	45053.45	45053.45	1	44067.22	0.0506556	0.10255	0.71708	0.129714	0.497549	0.499461	0.500598	0.502392	1	34446.5	2	0.999873	0.999968	1.00003	1.00013	0.7519263
360	-241.0839	-224.7609	-16.32299	1e+08	0	0.181213	0.015831	0.012884	0.0803168	0.0049775	0.0103213	0.122368	0.0134506	0.060152	0.0190761	0.21517	0.00510735	0.0449391	0.0935342	0.00409193	0.015096	0.0176682	0.498242	0.49956	0.500347	0.501851	0	62000	23156.78	23156.78	1	46184.91	0.201779	0.401562	0.372872	0.0237873	0.497642	0.499482	0.50057	0.502305	1	37152.15	2	0.999873	0.999968	1.00003	1.00013	0.9161964
370	-251.0466	-224.7785	-26.26812	1e+08	0	0.1258	0.00611268	0.00325373	0.163348	0.0146343	0.0243358	0.0565506	0.0301541	0.0287225	0.00884743	0.123735	0.00140018	0.0461453	0.128089	0.00447125	0.0184023	0.0232194	0.496627	0.499197	0.500839	0.503337	1	17941.96	1	44981.5	1	61287.54	0.0132624	0.290273	0.231224	0.465241	0.497832	0.499466	0.500477	0.502225	1	41874.62	3	0.999873	0.999968	1.00003	1.00013	0.8072216
380	-275.0789	-227.8159	-47.26304	6.049729e+07	1	0.0883473	0.00267872	0.0179594	0.0871986	0.0104636	0.0070321	0.12962	0.0362607	0.0325243	0.00523738	0.342912	0.000578556	0.078353	0.144607	0.00145076	0.00653404	0.0728873	0.497376	0.49941	0.500644	0.50257	1	29943.77	1	22987.77	1	23032.15	0.0741201	0.270587	0.222399	0.432893	0.497793	0.49949	0.500508	0.502208	1	41454.88	3	0.999837	0.999959	1.00004	1.00016	1.064645
