Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	pi_scale
480	-205.3733	-221.0158	15.64243	0.188205	0.0107549	0.0290558	0.203595	0.0253297	0.0100088	0.0271633	0.011044	0.0493323	0.0105441	0.213195	0.00830029	0.205988	0.0358479	0.00556333	0.00124721	0.0417088	0.8418796
490	-204.966	-220.7479	15.78191	0.233362	0.0157413	0.0312201	0.136318	0.00591805	0.0278483	0.0362315	0.0213302	0.0154124	0.00465905	0.19027	0.00444755	0.0814473	0.125212	0.038731	0.00435277	0.0368137	1.396991
500	-203.7672	-219.4271	15.65994	0.23356	0.04106	0.00282525	0.0935584	0.00924362	0.0438397	0.00257107	0.0181815	0.0394821	0.0155849	0.137832	0.00372086	0.217517	0.0593847	0.0392321	0.0101927	0.0686353	1.233392
510	-210.0999	-227.9408	17.84086	0.102212	0.0046776	0.00481947	0.0417386	0.0108677	0.00687623	0.0152333	0.0359533	0.0177787	0.0261529	0.0518768	0.0126227	0.223754	0.164135	0.025857	0.00992685	0.0814821	1.049709
520	-213.5384	-228.3939	14.8555	0.174862	0.0124878	0.00281556	0.0902201	0.00680575	0.00882953	0.135162	0.0367638	0.0684706	0.00457533	0.0990923	0.0257856	0.169054	0.113814	0.0114727	0.0262427	0.0303479	2.508892
530	-207.9603	-223.657	15.69672	0.212808	0.00082137	0.00865653	0.139336	0.0110813	0.0138827	0.0576363	0.0674249	0.0210956	0.0101663	0.155311	0.0140899	0.225889	0.0695192	0.0181527	0.0469014	0.00287237	0.8017226
540	-206.854	-223.722	16.868	0.135328	0.0126378	0.00235177	0.127032	0.0372239	0.038697	0.0990714	0.0127442	0.00803525	0.00570094	0.173317	0.00552416	0.189664	0.0843567	0.0146746	0.00917259	0.0269498	0.5745225
550	-209.6111	-225.385	15.77389	0.134572	0.0207054	0.00974905	0.117512	0.0209267	0.0342576	0.186971	0.0337988	0.0323745	0.00508015	0.220078	0.0199828	0.150916	0.0139204	0.00879133	0.000942715	0.0397867	0.9724288
560	-214.7279	-227.6796	12.95164	0.177132	0.00456245	0.01872	0.139857	0.065618	0.0783479	0.0241878	0.0134314	0.151189	0.0203265	0.131293	0.0453428	0.224994	0.0436083	0.0092467	0.0193777	0.0819722	1.919586
570	-202.5647	-220.1438	17.57917	0.136172	0.0490101	0.0118275	0.143022	0.000811565	0.0200844	0.0578336	0.0473466	0.039362	0.00185935	0.109725	0.0259369	0.130629	0.0628788	0.0099964	0.0210917	0.0135294	0.8620566
580	-212.5611	-225.3363	12.77524	0.202051	0.0108233	0.0136146	0.109584	0.000156289	0.0191575	0.00810758	0.0662917	0.0178796	0.00260547	0.24063	0.172848	0.182636	0.105633	0.0793967	0.0212936	0.0218085	1.820925
